Gene Name	FL CD34+Lin-	BM CD34+Lin-	CT CD34+CD1-	CT CD34+CD1+
HOXA1	1a	5	1	2
HOXA3	8	4	0	1
HOXA4	10	11	0	1
HOXA5	10	10	14	16
HOXA6	9	5	2	9
HOXA7	28	42	16	23
HOXA9	61	41	3	16
HOXA10	6	5	83	49
HOXA11	0	0	2	3
HOXB1	1	5	0	0
HOXB3	0	3	3	2
HOXB4	8	9	0	1
HOXB5	3	1	0	0
HOXB6	3	4	0	0
HOXB7	1	2	1	1
HOXB9	1	0	0	0
HOXC4	0	1	2	0
HOXC6	1	0	0	0
HOXD10	0	0	1	1
HOXD11	0	0	3	0
