Probe ID	Gene Symbol
220423_at	PLA2G2D
41577_at	PPP1R16B
204678_s_at	KCNK1
209728_at	HLA-DRB4
222196_at	LOC286434
219911_s_at	SLC04A1
221959_at	C8orf72
204865_at	CA3
204411_at	KIF21B
209978_s_at	LPA /// PLG
203234_at	UPP1
221704_s_at	VPS37B
216860_s_at	GDF11
203756_at	ARHGEF17
202178_at	PRKCZ
208425_s_at	DKFZP564D1
204518_s_at	PPIC
212773_s_at	MICAL2
204412_s_at	NEFH
209558_s_at	HIP1R
213306_at	MPDZ
215768_at	SOX5
207068_at	ZFP37
219019_at	---
2118364_s_at	TP73L
218251_at	MID1IP1
218840_s_at	NADSYN1
221728_x_at	XIST
204994_s_at	NF2
206261_at	ZNF239
204118_at	CD48
205769_at	SLC27A2
203549_s_at	LPL
202345_s_at	FABP5
208965_s_at	IFI16
212886_at	DKFZP434C1
203354_s_at	PSD3
208295_x_at	CSHL1
210184_at	ITGAX
209810_at	SFTPB
209863_s_at	TP73L
217853_at	TNS3
208023_at	TNFRSF4
213524_s_at	G0S4
33767_at	NEFH
210830_s_at	PON2
206023_at	NMU
209522_s_at	CRAT
212314_at	KIAA0746
220132_s_at	CLEC2D
