Affy ID	Gene Symbol	R/CCR
217152_at	---	1.14
213497_at	ABTB2	1.31
219090_at	SLC24A3	1.19
221537_at	PLXNA1	1.16
218416_s_at	FLJ20489	1.15
206738_at	APOC4	1.12
222352_at	FBXO31	1.12
215541_s_at	DIAPH1	1.16
205798_at	IL7R	0.55
211743_s_at	PRG2	1.6
208437_at	CLCN1	1.14
206881_s_at	LILRA3	1.17
203193_at	ESRRA	1.12
208799_at	PSMB5	0.86
217881_s_at	CDC27	0.85
202797_at	SACM1L	0.72
203878_s_at	MMP11	1.14
210018_x_at	MALT1	0.73
221652_s_at	C12orf11	0.8
202652_at	APBB1	1.14
222339_x_at	NFIX	1.16
219041_s_at	REPIN1	0.65
209831_x_at	DNASE2	1.12
219118_at	FKBP11	0.74
202973_x_at	FAM13A1	0.76
218812_s_at	TMEM142B	1.13
222265_at	TNS4	1.12
205848_at	GAS2	0.21
213601_at	SLIT1	0.68
220554_at	SLC22A7	1.14
205788_s_at	ZC3H11A	0.81
204646_at	DPYD	0.6
220451_s_at	BIRC7	1.13
208936_x_at	LGALS8	0.85
211433_x_at	KIAA1539	1.13
219014_at	PLAC8	0.57
208309_s_at	MALT1	0.72
206894_at	APOA4	1.12
203661_s_at	TMOD1	1.15
206945_at	LCT	0.79
209730_at	SEMA3F	1.15
221013_s_at	APOL2	1.12
217047_s_at	FAM13A1	0.83
201455_s_at	NPEPPS	0.83
204658_at	TRA2A	0.86
208654_s_at	CD164	0.76
216607_s_at	CYP51A1	0.66
215587_x_at	BTBD14B	1.19
208405_s_at	CD164	0.81
216358_at	---	1.13
212159_x_at	AP2A2	0.7
206697_s_at	HP	1.15
201801_s_at	SLC29A1	0.82
211779_x_at	AP2A2	0.72
217746_s_at	PDCD6IP	0.86
209246_at	ABCF2	1.12
222252_x_at	UBQLN4	1.16
