ID	Symbol	Name	Synonyms	Chromosome
973	CD79A	CD79a molecule, immunoglobulin-associated alpha	IGA|MB-1	19
974	CD79B	CD79b molecule, immunoglobulin-associated beta	B29|IGB	17
4067	LYN	v-yes-1 Yamaguchi sarcoma viral related oncogene homolog	FLJ26625|JTK8	8
6850	SYK	spleen tyrosine kinase	DKFZp313N1010|FLJ25043|FLJ37489	9
695	BTK	Bruton agammaglobulinemia tyrosine kinase	AGMX1|AT|ATK|BPK|IMD1|MGC126261|MGC126262|PSCTK1|XLA	X
29760	BLNK	B-cell linker	BASH|BLNK-S|LY57|MGC111051|SLP-65|SLP65	10
10451	VAV3	vav 3 guanine nucleotide exchange factor	FLJ40431	1
7409	VAV1	vav 1 guanine nucleotide exchange factor	VAV	19
7410	VAV2	vav 2 guanine nucleotide exchange factor	-	9
5879	RAC1	ras-related C3 botulinum toxin substrate 1 (rho family, small GTP binding protein Rac1)	MGC111543|MIG5|TC-25|p21-Rac1	7
5880	RAC2	ras-related C3 botulinum toxin substrate 2 (rho family, small GTP binding protein Rac2)	EN-7|Gx|HSPC022	22
5881	RAC3	ras-related C3 botulinum toxin substrate 3 (rho family, small GTP binding protein Rac3)	-	17
5530	PPP3CA	protein phosphatase 3 (formerly 2B), catalytic subunit, alpha isoform	CALN|CALNA|CALNA1|CCN1|CNA1|PPP2B	4
5532	PPP3CB	protein phosphatase 3 (formerly 2B), catalytic subunit, beta isoform	CALNA2|CALNB	10
5533	PPP3CC	protein phosphatase 3 (formerly 2B), catalytic subunit, gamma isoform	CALNA3	8
11261	CHP	calcium binding protein P22	SLC9A1BP	15
5534	PPP3R1	protein phosphatase 3 (formerly 2B), regulatory subunit B, alpha isoform	CALNB1|CNB|CNB1	2
5535	PPP3R2	protein phosphatase 3 (formerly 2B), regulatory subunit B, beta isoform	PPP3RL	9
63928	CHP2	calcineurin B homologous protein 2	-	16
10725	NFAT5	nuclear factor of activated T-cells 5, tonicity-responsive	KIAA0827|NF-AT5|NFATL1|NFATZ|OREBP|TONEBP	16
4772	NFATC1	nuclear factor of activated T-cells, cytoplasmic, calcineurin-dependent 1	MGC138448|NF-ATC|NFAT2|NFATc	18
4773	NFATC2	nuclear factor of activated T-cells, cytoplasmic, calcineurin-dependent 2	NFAT1|NFATP	20
4775	NFATC3	nuclear factor of activated T-cells, cytoplasmic, calcineurin-dependent 3	NFAT4|NFATX	16
4776	NFATC4	nuclear factor of activated T-cells, cytoplasmic, calcineurin-dependent 4	NF-ATc4|NFAT3	14
3265	HRAS	v-Ha-ras Harvey rat sarcoma viral oncogene homolog	C-BAS/HAS|C-H-RAS|C-HA-RAS1|CTLO|H-RASIDX|HAMSV|HRAS1|K-RAS|N-RAS|RASH1	11
3845	KRAS	v-Ki-ras2 Kirsten rat sarcoma viral oncogene homolog	C-K-RAS|K-RAS2A|K-RAS2B|K-RAS4A|K-RAS4B|KI-RAS|KRAS1|KRAS2|NS3|RASK2	12
4893	NRAS	neuroblastoma RAS viral (v-ras) oncogene homolog	ALPS4|N-ras|NRAS1	1
2353	FOS	v-fos FBJ murine osteosarcoma viral oncogene homolog	AP-1|C-FOS	14
3725	JUN	jun oncogene	AP-1|AP1|c-Jun	1
84433	CARD11	caspase recruitment domain family, member 11	BIMP3|CARMA1|MGC133069	7
8915	BCL10	B-cell CLL/lymphoma 10	CARMEN|CIPER|CLAP|c-E10|mE10	1
10892	MALT1	mucosa associated lymphoid tissue lymphoma translocation gene 1	DKFZp434L132|MLT|MLT1	18
1147	CHUK	conserved helix-loop-helix ubiquitous kinase	IKBKA|IKK-alpha|IKK1|IKKA|NFKBIKA|TCF16	10
3551	IKBKB	inhibitor of kappa light polypeptide gene enhancer in B-cells, kinase beta	FLJ40509|IKK-beta|IKK2|IKKB|MGC131801|NFKBIKB	8
8517	IKBKG	inhibitor of kappa light polypeptide gene enhancer in B-cells, kinase gamma	AMCBX1|FIP-3|FIP3|Fip3p|IKK-gamma|IP|IP1|IP2|IPD2|NEMO	X
4790	NFKB1	nuclear factor of kappa light polypeptide gene enhancer in B-cells 1	DKFZp686C01211|EBP-1|KBF1|MGC54151|NF-kappa-B|NFKB-p105|NFKB-p50|p105|p50	4
5970	RELA	v-rel reticuloendotheliosis viral oncogene homolog A (avian)	MGC131774|NFKB3|p65	11
4792	NFKBIA	nuclear factor of kappa light polypeptide gene enhancer in B-cells inhibitor, alpha	IKBA|MAD-3|NFKBI	14
4793	NFKBIB	nuclear factor of kappa light polypeptide gene enhancer in B-cells inhibitor, beta	IKBB|TRIP9	19
4794	NFKBIE	nuclear factor of kappa light polypeptide gene enhancer in B-cells inhibitor, epsilon	IKBE	6
975	CD81	CD81 molecule	S5.7|TAPA1|TSPAN28	11
930	CD19	CD19 molecule	B4|MGC12802	16
1380	CR2	complement component (3d/Epstein Barr virus) receptor 2	C3DR|CD21|SLEB9	1
23533	PIK3R5	phosphoinositide-3-kinase, regulatory subunit 5	F730038I15Rik|FOAP-2|P101-PI3K|p101	17
5295	PIK3R1	phosphoinositide-3-kinase, regulatory subunit 1 (alpha)	GRB1|p85|p85-ALPHA	5
5296	PIK3R2	phosphoinositide-3-kinase, regulatory subunit 2 (beta)	P85B|p85|p85-BETA	19
8503	PIK3R3	phosphoinositide-3-kinase, regulatory subunit 3 (gamma)	DKFZp686P05226|FLJ41892|p55|p55-GAMMA	1
5290	PIK3CA	phosphoinositide-3-kinase, catalytic, alpha polypeptide	MGC142161|MGC142163|PI3K|p110-alpha	3
5291	PIK3CB	phosphoinositide-3-kinase, catalytic, beta polypeptide	DKFZp779K1237|MGC133043|PI3K|PI3KCB|PI3Kbeta|PIK3C1|p110-BETA	3
5293	PIK3CD	phosphoinositide-3-kinase, catalytic, delta polypeptide	p110D	1
5294	PIK3CG	phosphoinositide-3-kinase, catalytic, gamma polypeptide	PI3CG|PI3K|PI3Kgamma|PIK3	7
10000	AKT3	v-akt murine thymoma viral oncogene homolog 3 (protein kinase B, gamma)	DKFZp434N0250|PKB-GAMMA|PKBG|PRKBG|RAC-PK-gamma|RAC-gamma|STK-2	1
207	AKT1	v-akt murine thymoma viral oncogene homolog 1	AKT|MGC99656|PKB|PKB-ALPHA|PRKBA|RAC|RAC-ALPHA	14
208	AKT2	v-akt murine thymoma viral oncogene homolog 2	PKBB|PKBBETA|PRKBB|RAC-BETA	19
2932	GSK3B	glycogen synthase kinase 3 beta	-	3
3635	INPP5D	inositol polyphosphate-5-phosphatase, 145kDa	MGC104855|MGC142140|MGC142142|SHIP|SHIP1|SIP-145|hp51CN	2
933	CD22	CD22 molecule	FLJ22814|MGC130020|SIGLEC-2|SIGLEC2	19
971	CD72	CD72 molecule	CD72b|LYB2	9
5777	PTPN6	protein tyrosine phosphatase, non-receptor type 6	HCP|HCPH|HPTP1C|PTP-1C|SH-PTP1|SHP-1|SHP-1L|SHP1	12
11025	LILRB3	leukocyte immunoglobulin-like receptor, subfamily B (with TM and ITIM domains), member 3	CD85A|HL9|ILT5|LIR-3|LIR3|MGC138403|PIRB	19
2213	FCGR2B	Fc fragment of IgG, low affinity IIb, receptor (CD32)	CD32|CD32B|FCG2|FCGR2|IGFR2	1
25780	RASGRP3	RAS guanyl releasing protein 3 (calcium and DAG-regulated)	GRP3|KIAA0846	2
5336	PLCG2	phospholipase C, gamma 2 (phosphatidylinositol-specific)	-	16
5579	PRKCB	protein kinase C, beta	MGC41878|PKC-beta|PKCB|PRKCB1|PRKCB2	16
8519	IFITM1	interferon induced transmembrane protein 1 (9-27)	9-27|CD225|IFI17|LEU13	11
3492	IGH@	immunoglobulin heavy locus	DKFZp686C15213|IGH|IGH.1@|IGHDY1|MGC72071|MGC88774	14
