GenBank	Ave_Spt16_FC	Ave_SSRP1_FC	Symbol	Gene name
R70601	1.25949	-2.4014	NA	Unknown protein
N78083	1.21344	-1.5576	NA	Unknown protein
R22977	1.24888	-1.5241	MSN	Moesin
AA232856	1.21156	-1.3845	TOP1	Topoisomerase (DNA) I
H00817	1.24823	-1.2726	LYPLA1	Lysophospholipase I
AA620528	-1.2894	1.268	NA	Unknown protein
AA701502	-1.2371	1.25759	PDGFA	Platelet-derived growth factor alpha polypeptide
AA676458	-1.2318	1.30321	LOXL2	Lysyl oxidase-like 2
R08261	-1.3456	1.45108	NA	Unknown protein
AA610040	-1.3499	1.45112	HIST1H2BA	Histone 1, H2ba
AA453105	-1.3104	1.51582	HIST1H2AC	Histone 1, H2ba
AA598517	-1.4432	1.82049	KRT8	Keratin 8
