Entrez Gene Identification no.	Gene Symbol	Gene	Fold Change	Functional Classification
29818	Hspb7	Heat shock protein family, member 7	-1.9	Cytoprotective-associated proteins
22289	Utx	Ubiquitously transcribed tetratricopeptide repeat gene, X chromosome	-1.8	Cytoprotective-associated proteins
21452	Tcn2	Transcobalamin 2	-1.6	Cytoprotective-associated proteins
68460	Dhrs7c	Dehydrogenase/reductase (SDR) family member 7C	-1.6	Cytoprotective-associated proteins
53945	Slc40a1	Solute carrier family 40	-1.6	Cytoprotective-associated proteins
17002	Ltf	Lactotransferrin	-2.3	Detoxification-associated proteins
13058	Cybb	Cytochrome b-245, beta polypeptide	-1.9	Detoxification-associated proteins
11865	Arntl	Aryl hydrocarbon receptor nuclear translocator-like	-1.7	Detoxification-associated proteins
14938	Gzma	Granzyme A	-1.6	Detoxification-associated proteins
17132	V-maf	Avian musculoaponeurotic fibrosarcoma	-1.6	Detoxification-associated proteins
