Gene Symbol	Abbreviation used	GenBank accession number	Gene name
ANF	ANF	M27498	Atrial natriuretic factor
Actb	beta-Act	V01217	beta-Actin
Fn1	cFn-EIIIA	X15906	Cellular fibronectin
Sele	E-sel	L25527	E-Selectin (ELAM-1)
HO	HO	J05405	Heme oxygenase-2
hsp70	hsp70	Z27118	Heat-shock protein 70
Icam1	ICAM-1	D00913	Intracellular adhesion molecule-1
IFNG	IFN-gamma	AF010466	Interferon gamma
IL1B	IL-1beta	M98820	Interleukin-1b
IL6	IL-6	M26744	Interleukin-6
MAPa1	MAP-alpha 1	Y02299	Major acute-phase alpha-1 protein
MIP1a	MIP-1alpha	U06435	Macrophage inflammatory protein-1 alpha
MnSOD	MnSOD	Y00497	Manganese-containing superoxide dismutase
NFKB1	NF-kappa B	L26267	Nuclear factor kappa B p105 subunit
NOS	NOS	D12520	Nitric oxide synthase
NOS	NOS	U03699	Inducible nitric oxide synthase
	pc2-1	NA	TA cloning vector pCR2.1 (Invitrogen, Carlsbad, CA)
PDGFA	PDGF-A	S57864	Platelet-derived growth factor A-chain
p53	p53	X13058	Nuclear oncoprotein p53
SAPK	SAPK	L27112	Stress-activated protein kinase
SK5	SK-5	U31321	EST:U31321 from C3H10T1/2 cells
SK15	SK-15	NA	Male-specific cytochrome P-450 IIA2 partial cDNA
SPA	SP-A	X13177	Surfactant protein A
SPD	SP-D	M81231	Surfactant protein D
TGFb1	TGF-b 1	X52498	Transforming growth factor-beta 1
TIMP1	TIMP-1	U06179	Tissue inhibitor of metalloproteinase Type 1 (TIMP-1)
TIMP2	TIMP-2	U14526	Tissue inhibitor of metalloproteinase type 2
Thrombo	Thrombo	AF022743	Thrombomodulin
VCAM1	VCAM-1	X63722	Vascular cell adhesion molecule-1
VEGFD	VEGF-D	AF014827	Vascular endothelial growth factor D
