Gene	Name	Chromosome	Accession no.	Mean difference	P value
PHOX2B	Paired-like homeobox 2B	4p12	D82344	-1.07	0.003
ARHH	Ras homolog gene family, member H	4p13	Z35227	1.19	0.04
WHSC1	Wolf-Hirschorn syndrome candidate 1 (MMSET)	4p16.3	AJ007042	1.27	0.005
ZFP36L1	Zinc finger protein 36, C3H type-like 1	14q22–14q24	X79067	1.44	0.01
TMP21	Transmembrane trafficking protein	14q24.3	L40397	1.25	0.024
			L40391	1.19	0.005
CALM1	Calmodulin 1 (phosphorylase kinase, delta)	14q24-q31	U16850	1.16	0.02
EIF5	Eukaryotic translation initiation factor 5	14q32.33	AL080102	1.15	0.027
