Probe ID	Gene Symbol	Expression
201997_s_at	SPEN	Down-Regulated
213154_s_at	BICD2	Down-Regulated
221803_s_at	NRBF2	Down-Regulated
212461_at	AZIN	Down-Regulated
201772_at	AZIN	Down-Regulated
203334_at	DHX8	Down-Regulated
208780_x_at	VAPA	Down-Regulated
212636_at	QKI	Down-Regulated
213549_at	SLC18A2	Down-Regulated
200648_s_at	GLUL	Down-Regulated
215001_s_at	GLUL	Down-Regulated
205404_at	HSD11B1	Up-Regulated
205860_x_at	FOLH1	Up-Regulated
215526_at	WWOX	Up-Regulated
210647_x_at	PLA2G6	Down-Regulated
212592_at	IGJ	Up-Regulated
221388_at	OR1A1	Up-Regulated
209561_at	THBS3	Up-Regulated
205727_at	TEP1	Up-Regulated
211613_s_at	GPD2	Up-Regulated
