Gene Name	Gene Accession	Fold Change
HSPCA	NM_005348	4.66
PDGFRA	M21574	3.54
HLF	M95585	2.41
COL4A4	U50936	2.13
TNFRSF7	NM_001242	2.01
CCR6	U45984	2.08
RBBP6	XM_056260	2.12
ANXA7	NM_009674	2.19
MMP13	NM_008607	2.37
EGR1	NM_001964	2.17
FABP3	U72237	2.16
IGFBP5	NM_000599	2.32
IL-6	NM_000600	2.08
NF-IC	NM_005597	2.12
