Gene	GenBank accession number	Gene Symbol	Description	Function
x1	M21574	PDGFRA	Platelet-derived growth factor receptor alpha	Signal transduction
x2	M59465	TNFAIP3	Tumour necrosis factor alpha inducible protein A20	Immune response
x3	U51240	LAPTM5	Lysosomal-associated multitransmembrane protein	Protein interacting with ubiquitin
x4	X00274	HLADRA	HLA-DR alpha heavy chain	Immune response/MHC class II antigen
x5	X75042	REL	Rel proto-oncogene	Transcription/proto-oncogene
x6	X82200	TRIM22	Staf50	Transcription/interferon-inducible
x7	Y10032	SGK	Putative serine/threonine protein kinase	Sodium transport/stress response
x8	L08895	MEF2C	MADS/MEF2-family transcription factor	Transcription
x9	AC_000063	SEMA3F	HUMLUCA19 human cosmid clone LUCA19 from 3p21-3	Embryonic development/cell motility
x10	U59321	DDX17	DEAD-box protein p72	RNA helicase/RNA processing
x11	Z19554	VIM	Vimentin	Cytoskeleton/liver metastasis
x12	D13639	CCND2	KIAK0002 gene	Control of cell cycle
