miRNAs up in AMLs	Acc. N. mature miRNA	Expression
has-let-7e	MIMAT0000066	Up-Regulated
hsa-mir-27a	MIMAT0000084	Up-Regulated
hsa-mir-30d	MIMAT0000245	Up-Regulated
hsa-mir-142	MIMAT0000433	Up-Regulated
hsa-mir-155	MIMAT0000646	Up-Regulated
hsa-mir-181a-1	MIMAT0000256	Up-Regulated
hsa-mir-181b-2	MIMAT0000257	Up-Regulated
hsa-mir-181c	MIMAT0000258	Up-Regulated
hsa-mir-195	MIMAT0000461	Up-Regulated
hsa-mir-221	MIMAT0000278	Up-Regulated
hsa-mir-222	MIMAT0000279	Up-Regulated
hsa-mir-324	MIMAT0000761	Up-Regulated
hsa-mir-326	MIMAT0000756	Up-Regulated
hsa-mir-328	MIMAT0000752	Up-Regulated
hsa-mir-331	MIMAT0000760	Up-Regulated
hsa-mir-340	MIMAT0000750	Up-Regulated
hsa-mir-374a	MIMAT0000727	Up-Regulated
