Gene	Status
Dusp6	up-regulated in Hunk-wt tumors
Sgk	up-regulated in Hunk-wt tumors
1300002F13Rik	up-regulated in Hunk-wt tumors
0610006I08Rik	up-regulated in Hunk-wt tumors
Bid	up-regulated in Hunk-wt tumors
Bex2	up-regulated in Hunk-wt tumors
Ppfibp2	up-regulated in Hunk-wt tumors
Siat7d	up-regulated in Hunk-wt tumors
3930402F23Rik	up-regulated in Hunk-wt tumors
Nudt4	up-regulated in Hunk-wt tumors
D130043N08Rik	up-regulated in Hunk-wt tumors
2410043F08Rik	up-regulated in Hunk-wt tumors
Egln3	up-regulated in Hunk-wt tumors
2610018G03Rik	up-regulated in Hunk-wt tumors
Tm4 sf10	up-regulated in Hunk-wt tumors
Catnal1	up-regulated in Hunk-wt tumors
Etv5	up-regulated in Hunk-wt tumors
Col9a1	up-regulated in Hunk-wt tumors
Fin15	up-regulated in Hunk-wt tumors
Rcn2	up-regulated in Hunk-wt tumors
Ctbp2	up-regulated in Hunk-wt tumors
Spred1	up-regulated in Hunk-wt tumors
Lig3	up-regulated in Hunk-wt tumors
9430059P22Rik	up-regulated in Hunk-wt tumors
Fgfr1	up-regulated in Hunk-wt tumors
BC005662	up-regulated in Hunk-wt tumors
Trf	up-regulated in Hunk-wt tumors
Slc6a15	up-regulated in Hunk-wt tumors
3830613O22Rik	up-regulated in Hunk-wt tumors
Nfib	up-regulated in Hunk-wt tumors
Chn2	up-regulated in Hunk-wt tumors
6430706D22Rik	up-regulated in Hunk-wt tumors
A830073O21Rik	up-regulated in Hunk-wt tumors
Spred2	up-regulated in Hunk-wt tumors
D7Wsu87e	up-regulated in Hunk-wt tumors
Hlf	up-regulated in Hunk-wt tumors
Spry2	up-regulated in Hunk-wt tumors
E030026I10Rik	up-regulated in Hunk-wt tumors
Ttc3	up-regulated in Hunk-wt tumors
Rex3	up-regulated in Hunk-wt tumors
3110048E14Rik	up-regulated in Hunk-wt tumors
Sh3d19	up-regulated in Hunk-wt tumors
Socs2	up-regulated in Hunk-wt tumors
Rbp7	up-regulated in Hunk-wt tumors
Emid1	up-regulated in Hunk-wt tumors
Pkp1	up-regulated in Hunk-wt tumors
AU040950	up-regulated in Hunk-wt tumors
Zfp422	up-regulated in Hunk-wt tumors
Depdc6	up-regulated in Hunk-wt tumors
BC023488	up-regulated in Hunk-wt tumors
Npnt	up-regulated in Hunk-wt tumors
Dusp9	up-regulated in Hunk-wt tumors
Cpd	up-regulated in Hunk-wt tumors
Skp2	up-regulated in Hunk-wt tumors
BC019755	up-regulated in Hunk-wt tumors
Trim46	up-regulated in Hunk-wt tumors
Cryab	down-regulated in Hunk-wt tumors
Ckmt1	down-regulated in Hunk-wt tumors
Krt1	down-regulated in Hunk-wt tumors
Plekha2	down-regulated in Hunk-wt tumors
Hsd17b4	down-regulated in Hunk-wt tumors
Abhd5	down-regulated in Hunk-wt tumors
1810044O22Rik	down-regulated in Hunk-wt tumors
Tjp3	down-regulated in Hunk-wt tumors
Dgat1	down-regulated in Hunk-wt tumors
Rnf128	down-regulated in Hunk-wt tumors
Cbr2	down-regulated in Hunk-wt tumors
Galgt1	down-regulated in Hunk-wt tumors
Tmprss2	down-regulated in Hunk-wt tumors
Dcxr	down-regulated in Hunk-wt tumors
Nupr1	down-regulated in Hunk-wt tumors
Apob48r	down-regulated in Hunk-wt tumors
Car13	down-regulated in Hunk-wt tumors
Xpnpep1	down-regulated in Hunk-wt tumors
Cte1	down-regulated in Hunk-wt tumors
Add3	down-regulated in Hunk-wt tumors
Pgd	down-regulated in Hunk-wt tumors
C3	down-regulated in Hunk-wt tumors
Slc15a2	down-regulated in Hunk-wt tumors
Grb10	down-regulated in Hunk-wt tumors
Bcat2	down-regulated in Hunk-wt tumors
Nt5c2	down-regulated in Hunk-wt tumors
Chpt1	down-regulated in Hunk-wt tumors
Glul	down-regulated in Hunk-wt tumors
Tmprss4	down-regulated in Hunk-wt tumors
Lzts2	down-regulated in Hunk-wt tumors
Hspa1b	down-regulated in Hunk-wt tumors
Ddit4	down-regulated in Hunk-wt tumors
1200008D14Rik	down-regulated in Hunk-wt tumors
Dp1l1	down-regulated in Hunk-wt tumors
9130011B11Rik	down-regulated in Hunk-wt tumors
Pscdbp	down-regulated in Hunk-wt tumors
Sycp3	down-regulated in Hunk-wt tumors
Aldo1	down-regulated in Hunk-wt tumors
Tkt	down-regulated in Hunk-wt tumors
Sfrp2	down-regulated in Hunk-wt tumors
Anxa1	down-regulated in Hunk-wt tumors
Slc1a1	down-regulated in Hunk-wt tumors
Cyp2f2	down-regulated in Hunk-wt tumors
Msra	down-regulated in Hunk-wt tumors
Hp	down-regulated in Hunk-wt tumors
Pip	down-regulated in Hunk-wt tumors
Ltf	down-regulated in Hunk-wt tumors
Chka	down-regulated in Hunk-wt tumors
Selenbp1	down-regulated in Hunk-wt tumors
1810011O10Rik	down-regulated in Hunk-wt tumors
BC011467	down-regulated in Hunk-wt tumors
Bdh	down-regulated in Hunk-wt tumors
Gadd45 g	down-regulated in Hunk-wt tumors
Chdh	down-regulated in Hunk-wt tumors
