Affymetrix number	Gene Name	Gene Symbol	Reference Number	Above/Below mean
37960_at	carbohydrate chondroitin 6/keratan sulfotransferase 2	CHST2	AB014679	Above
31892_at	protein tyrosine phosphatase receptor type M	PTPRM	X58288	Above
994_at	protein tyrosine phosphatase receptor type M	PTPRM	X58288	Above
995_g_at	protein tyrosine phosphatase receptor type M	PTPRM	X58288	Above
41074_at	G protein-coupled receptor 49	GPR49	AF062006	Above
41073_at	G protein-coupled receptor 49	GPR49	AI743745	Above
34676_at	KIAA1099 protein	KIAA1099	AB029022	Above
36139_at	DKFZP586G0522 protein	DKFZP586G0522	AL050289	Above
37542_at	lipoma HMGIC fusion partner-like 2	LHFPL2	D86961	Above
41159_at	clathrin heavy polypeptide Hc	CLTC	D21260	Above
32800_at	retinoid X receptor alpha mRNA	NA	U66306	Above
1664_at	insulin-like growth factor 2	IGF2	HG3543-HT3739	Above
36566_at	cystinosis nephropathic	CTNS	AJ222967	Above
