Accession number (GenBank)	Gene-functional description	Ratio	Real-time PCR As	Real-time PCR Mis
U56998	PRK (CNK)-putative serine/threonine protein kinase	1.90799	1.42	0.78d
U78305	WIP1–protein phosphatase	2	0.68	0.69
Y10256	NIK–serine/threonine protein kinase	2	0.73	0.61
U40622	XRCC4–DNA repair protein	0.5	0.2	2.17
U04045	MSH2–DNA mismatch repair protein	0.5	0.25	0.58
U60519	CASP10 (MCH4)-apoptosis-related cysteine protease	2	Not Determined	Not Determined
J03210	MMP2 (type IV collagenase)-matrix metalloproteinase	0.5	0.41	0.55
AF019770	MIC1 (PLAB)-macrophage inhibitorycy tokine	1.95917	1.77	1.25
