Unigene ID	UniGene abbreviation	UniGene name/description	Adjusted P	Relative expression
Hs.16364	PSPC1	Paraspeckle component 1	0.0002	down
Hs.446564	DDB2	Damage-specific DNA binding protein 2 (48 kD)	0.016	up
Hs.403997	VIL2	Villin 2 (ezrin)	0.0278	up
Hs.407909	LGALS1	Lectin, galactoside-binding, soluble, 1 (galectin 1)	0.0278	up
Hs.78877	ITPKB	Inositol 1,4,5-trisphosphate 3-kinase B	0.034	up
Hs.407909	LGALS1	Lectin, galactoside-binding, soluble, 1 (galectin 1)	0.034	up
		Hypothetical protein 669	0.0492	down
Hs.60339	NMT2	N-myristoyltransferase 2	0.0492	down
Hs.152335	NA	LOC154084; Homo sapiens clone 24889 mRNA sequence	0.0492	up
Hs.433416	NME2	Nonmetastatic cells 2, protein (NM23B) expressed in	0.0492	up
Hs.13323	FLJ22059	Hypothetical protein FLJ22059	0.0492	up
