Fold Change	Genename	Function
172	CCL18	Chemokine
146	VNN1	Lymphomahoming
102	UBD	Proteindegradation
102	LYZ	ECM
92	CCL5	Chemokine
89	PLA2G2D	Lipidmetabolism
83	CHI3L1	ECM
82	CHIT1	ECM
75	RGS13	Gproteinsignaling
53	BID	Apoptosis
48	APOC1	Lipidmetabolism
46	PLA2G7	Lipidmetabolism
45	ADAMDEC1	ECM
41	MMP9	ECM
34	CXCL9	Chemokine
25	GZMK	Protease
17	LR8	Lipidmetabolism
15	KIAA0101	Unknown
13	GPNMB	Tumorsuppression
11	CTSB	Protease
