Gene Symbol	Expression
POSTN	No expression
SPP1	Up-Regulated
BMP2	Down-Regulated
BMPR2	No expression
POSTN	No expression
BMP6	Up-Regulated
BST1	No expression
SPP1	No expression
PRG2	Up-Regulated
BMP8B	Down-Regulated
BMP7	No expression
BMPR2	Down-Regulated
BMP1	Down-Regulated
BMP1	Down-Regulated
OTP	Up-Regulated
BMP1	Up-Regulated
BMP1	Down-Regulated
BMP10	Up-Regulated
BMP15	Down-Regulated
BMPR1B	Down-Regulated
BMP7	Up-Regulated
BMPR2	Up-Regulated
BMP6	Up-Regulated
BMP6	No expression
BMP1	Up-Regulated
BMP7	Up-Regulated
BMP1	Up-Regulated
BMP8A	Up-Regulated
ALPL	Up-Regulated
BMP8A	Up-Regulated
ALPL	Up-Regulated
BMP8A	Up-Regulated
BMP8B	Up-Regulated
IBSP	Down-Regulated
BMP3	Down-Regulated
BMP1	No expression
MEPE	No expression
IBSP	Down-Regulated
UBL7	Down-Regulated
BMPR2	Up-Regulated
BMP2	Up-Regulated
BGLAP	Up-Regulated
BMP8B	Up-Regulated
OTP	Up-Regulated
BMPR1A	Up-Regulated
BMP4	Down-Regulated
BMPR2	Up-Regulated
BMP7	Up-Regulated
BMPR1A	Down-Regulated
BST2	Down-Regulated
BMP5	Down-Regulated
BMP5	Down-Regulated
