Rank	Gene ID	r	Symbol
1	2-C11h	0.67	ADH6
2	2-A14a	0.669	ZBTB17
3	2-D11j	0.655	CNR2
4	2-F11d	0.651	NR2C2
5	1-F07a	0.649	PRDX2
6	2-E10i	0.644	PPP2R1A
7	2-B08d	0.64	ERG
8	2-A10c	0.638	EMX1
9	2-C07j	0.634	RAB28
10	2-E07g	0.633	SERPINA6
11	2-F10h	0.627	GPR17
12	2-F05g	0.622	SFRP4
13	3-D03f	0.608	CBR3
14	2-A13m	0.608	TEAD4
15	1-A09c	0.607	FOS
1	2-D07n	-0.779	TIAL1
2	2-C05h	-0.732	GOLGA3
3	2-C05l	-0.719	M6PR
4	2-F09k	-0.713	ADORA2B
5	2-F07e	-0.708	CAPN1
6	2-C07g	-0.676	RAB1A
7	2-C03i	-0.637	PEX5
8	1-D08i	-0.631	PRNP
9	2-B10i	-0.624	PDGFRL
10	2-B11b	-0.621	RAB8A
11	2-F03m	-0.608	YWHAB
