Accession	Gene Symbol	Gene or Protein Name
L07868	ERBB4	ERBB4 receptor tyrosine kinase
L24038	ARAF1	A-raf protooncogene homolog 1
AF010310	---	p53-induced protein
X79483	ERK6	Extracellular signal – regulated kinase 6
M35296	ABL2	Tyrosine protein kinase ABL2
AF014118	MYT1	Membrane-associated kinase 1
D87119	---	Cancellous bone osteoblast
U48296	pTPCAAX1	pTPCAAX1 nuclear tyrosine phosphatase
X78817	RGC1	rho-GAP hematopoietic protein C 1
U60207	KRS2	Serine/threonine protein kinase KRS2
D38551	RAD21H	RAD21
U43431	---	DNA topoisomerase III a
X52541	HEGR1	Early growth response protein 1
M73780	ITGB8	Integrin precursor
