Fold Change	Genename	Function
172	CCL18	Chemokine
151	IGJ	Antibody
146	VNN1	Lymphomahoming
130	CDW52	Proliferation
127	MAP4K1	Proliferation
126	NCF1	Inflammation
123	CORO1A	Cytoskeleton
121	CD79B	Immuneresponse
107	BCL2A1	Apoptosis
105	PPP1R16B	Proteinphosphatase
104	PSMB8	Proteasome
104	PTPRCAP	Proteinphosphatase
102	UBD	Proteindegradation
102	LYZ	ECM
100	TCRb	T-cellreceptor
98	CD20	Proliferation
97	GRP3	GTPsignaling
96	POU2AF1	Immuneresponse
96	NCF1	Inflammation
94	RAC2	Proliferation
92	CCL5	Chemokine
