Probe ID	ENTREZID	SYMBOL
1173_g_at	NA	retired probeset
1180_g_at	NA	retired probeset
1521_at	4830	NME1
1739_at	2346	FOLH1
1740_g_at	2346	FOLH1
1767_s_at	7043	TGFB3
1798_at	25800	SLC39A6
1980_s_at	4831	NME2
216_at	5730	PTGDS
31444_s_at	305	ANXA2P3
31509_at	6137	RPL13
31538_at	6175	RPLP0
31545_at	6222	RPS18
31568_at	6204	RPS10
31583_at	6202	RPS8
31906_at	3281	HSBP1
31907_at	9045	RPL14
32206_at	8476	CDC42BPA
32243_g_at	1410	CRYAB
32598_at	4753	NELL2
33121_g_at	6001	RGS10
33415_at	4831	NME2
33614_at	6142	RPL18A
33632_g_at	10907	TXNL4A
33668_at	6136	RPL12
33674_at	6159	RPL29
34050_at	116285	ACSM1
34304_s_at	6303	SAT1
34678_at	26509	FER1L3
34775_at	10103	TSPAN1
34840_at	NA	NA
34853_at	23768	FLRT2
35119_at	23521	RPL13A
36119_at	857	CAV1
36149_at	1809	DPYSL3
36174_at	65108	MARCKSL1
36491_at	11013	TMSL8
36589_at	231	AKR1B1
36624_at	3615	IMPDH2
36928_at	7705	ZNF146
37225_at	23189	KANK1
37366_at	10611	PDLIM5
37394_at	730	C7
37639_at	3249	HPN
37720_at	3329	HSPD1
38087_s_at	6275	S100A4
38322_at	9506	PAGE4
38406_f_at	5730	PTGDS
38634_at	5947	RBP1
38722_at	1291	COL6A1
38814_at	9550	ATP6V1G1
38827_at	10551	AGR2
38967_at	9556	C14orf2
39099_at	10484	SEC23A
39243_s_at	11168	PSIP1
39315_at	284	ANGPT1
39608_at	6493	SIM2
39634_at	9353	SLIT2
39750_at	51304	ZDHHC3
39798_at	6234	RPS28
40071_at	1545	CYP1B1
40167_s_at	55884	WSB2
40282_s_at	1675	CFD
40435_at	293	SLC25A6
40436_g_at	293	SLC25A6
40607_at	1808	DPYSL2
40856_at	5176	SERPINF1
41013_at	196740	C10orf72
41152_f_at	6173	RPL36A
41163_at	23423	TMED3
41214_at	6192	RPS4Y1
41242_at	6675	UAP1
41246_at	5270	SERPINE2
41468_at	445347	TARP
41504_s_at	4094	MAF
41696_at	79017	GGCT
41706_at	23600	AMACR
575_s_at	4072	TACSTD1
859_at	1545	CYP1B1
