GO ID 	GO terms 	Number changed 	Number detected 	Number in the group 	P value 	 
GO:0008150 	Biological process 	---	---	---	---	 
GO:0006950 	Response to stress 	23	235	501	0.000122	 
GO:0006952 	Defense response 	17	174	539	0.00254	 
GO:0009611 	Response to wounding 	13	93	153	0.00254	 
GO:0009607 	Response to biotic stimulus 	19	211	633	0.00254	 
GO:0009613 	"Response to pest, pathogen or parasite "	12	83	157	0.00254	 
GO:0006955 	Immune response 	16	165	481	0.00254	 
GO:0043207 	Response to external biotic stimulus 	12	88	167	0.0033	 
GO:0050896 	Response to stimulus 	30	432	1151	0.00563	 
GO:0006968 	Cellular defense response 	4	10	10	0.0122	 
GO:0009605 	Response to external stimulus 	19	248	514	0.0242	 
GO:0044248 	Cellular catabolism 	21	291	1659	0.0309	 
GO:0030595 	Immune cell chemotaxis 	3	7	7	0.048	 
GO:0006954 	Inflammatory response 	6	41	79	0.077	 
GO:0042102 	Positive regulation of T-cell proliferation 	2	3	3	0.0923	 
