Name	UniGene Cluster ID	Gene Category	Cy5/Cy3 Ratio HepG2	Cy5/Cy3 Ratio Huh7	Cy5/Cy3 Ratio Hep3B	Known Connection to HCC/Other Cancer	Status
Ephrin-A1	Hs.1624	cell-cell interaction, cytokine and growth factor	60.95	4.68	63.64	no/yes	Up-regulated in AFP-producing cell lines
a2-Macroglobulin	Hs.74561	cell-cell interaction	68.21	7.41	36.57	yes/yes	Up-regulated in AFP-producing cell lines
Cytochrome p450 reductase	Hs.167246	apoptosis	604.35	8.93	9.37	no/no	Up-regulated in AFP-producing cell lines
AFP	Hs.155421	cell cycle	99.58	19.2	16.84	yes/yes	Up-regulated in AFP-producing cell lines
TGF-b2	Hs.169300	cytokine and growth factor, oncogene	195.65	2561.15	79.77	yes/yes	Up-regulated in AFP-producing cell lines
Angiotensin receptor 1	Hs.89472	cytokine and growth factor	11.16	5.58	28.03	no/no	Up-regulated in AFP-producing cell lines
Transcriptional regulator ISGF3-g subunit	Hs.1706	transcription factors	14.36	7.07	12.81	no/no	Up-regulated in AFP-producing cell lines
Homo sapiens full-length insert cDNA clone, YW24E06	none		69.85	6.27	131.41	no/no	Up-regulated in AFP-producing cell lines
Monoamine oxidase B	Hs.82163		4.55	4.7	78.51	no/yes	Up-regulated in AFP-producing cell lines
Glutamate receptor, ionotropic, N-methyl D-aspartate 2C	Hs.36451		3.98	3.75	5.82	no/no	Up-regulated in AFP-producing cell lines
Transmembrane 4 superfamily member 2	Hs.82749		7.56	3.58	6.42	no/yes	Up-regulated in AFP-producing cell lines
Aggrecan 1	Hs.2159	cell-cell interaction	0.09	0.17	0.13	no/yes	Down-regulated in AFP-producing cell lines
Caveolin 1	Hs.173823	cell-cell interaction	0.03	0.14	0.05	no/yes	Down-regulated in AFP-producing cell lines
A disintegrin and metalloproteinase domain 9 (meltrin gamma)	Hs.2442	cell-cell interaction	0.28	0.31	0.28	no/no	Down-regulated in AFP-producing cell lines
Growth arrest–specific 1	Hs.65029	apoptosis, cell cycle	0.19	0.3	0.23	no/yes	Down-regulated in AFP-producing cell lines
Human common acute lymphoblastic leukemia antigen (CALLA)	Hs.1298	oncogene	0.1	0.23	0.23	yes/yes	Down-regulated in AFP-producing cell lines
NF-IL6	Hs.99029	transcription factors	0.03	0.06	0.07	yes/yes	Down-regulated in AFP-producing cell lines
Human MOP1	Hs.197540		0.11	0.21	0.18	no/no	Down-regulated in AFP-producing cell lines
