Probe Set ID	Gene Symbol	ES exp 1	ES exp 2	NOS targets	NOS TFs	PRC2 targets	Myc targets	proliferation
209773_s_at	RRM2	1	0	0	0	0	0	1
209642_at	BUB1	1	0	0	0	0	0	1
202589_at	TYMS	0	0	0	0	0	0	1
205046_at	CENPE	0	0	0	0	0	0	1
202107_s_at	MCM2	1	0	0	0	0	0	1
210334_x_at	BIRC5	1	0	0	0	0	0	1
209832_s_at	CDT1	1	0	0	0	0	0	1
214710_s_at	CCNB1	1	0	0	0	0	1	1
202954_at	UBE2C	0	0	0	0	0	0	1
201930_at	MCM6	1	0	0	0	0	0	1
203418_at	CCNA2	1	0	0	0	0	0	1
201710_at	MYBL2	0	1	0	0	0	0	0
202338_at	TK1	0	0	0	0	0	0	1
204023_at	RFC4	1	0	0	0	0	0	1
209714_s_at	CDKN3	0	0	0	0	0	0	1
204033_at	TRIP13	0	0	0	0	0	0	0
213911_s_at	H2AFZ	0	0	0	0	0	1	0
202870_s_at	CDC20	1	0	0	0	0	0	1
209969_s_at	STAT1	0	0	0	0	0	0	0
203358_s_at	EZH2	0	0	0	0	0	0	0
218355_at	KIF4A	1	0	0	0	0	0	0
201761_at	MTHFD2	1	0	0	0	0	0	0
201292_at	TOP2A	0	0	1	0	0	0	1
210559_s_at	CDC2	1	0	0	0	0	0	1
202580_x_at	FOXM1	0	0	0	0	0	1	0
214426_x_at	CHAF1A	1	0	0	0	0	0	1
203554_x_at	PTTG1	1	0	0	0	0	0	1
210029_at	INDO	1	0	0	0	0	0	0
216952_s_at	LMNB2	0	0	0	0	0	1	0
209172_s_at	CENPF	0	0	0	0	0	0	1
211762_s_at	KPNA2	1	0	0	0	0	0	1
204026_s_at	ZWINT	0	0	0	0	0	0	1
203755_at	BUB1B	1	0	1	0	0	0	1
203967_at	CDC6	1	0	0	0	0	0	1
218009_s_at	PRC1	0	0	0	0	0	0	1
202911_at	MSH6	1	0	0	0	0	0	0
203696_s_at	RFC2	0	0	0	0	0	0	1
209054_s_at	WHSC1	0	0	0	0	0	0	0
204126_s_at	CDC45L	0	0	0	0	0	0	1
