GeneID	Gene	Description																				
815501	MGC2721 	hypothetical protein MGC2721																				
1587847	MCM6 	"minichromosome maintenance deficient (mis5, S. pombe) 6"																				
66406		"ESTs, Highly similar to T47163 hypothetical protein DKFZp762E1312.1 [H.sapiens]"																				
1642496	MGC11266 	hypothetical protein MGC11266																				
843121	CLIC1 	chloride intracellular channel 1																				
769921	UBE2C 	ubiquitin-conjugating enzyme E2C																				
869375	IDH2 	"isocitrate dehydrogenase 2 (NADP+), mitochondrial"																				
1416055	KIAA0165 	"extra spindle poles, S. cerevisiae, homolog of"																				
2322367	RTN4 	reticulon 4																				
810899		ESTs																				
2017415	CENPA 	centromere protein A (17kD)																				
700792	CDKN3 	cyclin-dependent kinase inhibitor 3 (CDK2-associated dual specificity phosphatase)																				
814270	PMSCL1 	polymyositis/scleroderma autoantigen 1 (75kD)																				
1517595	KIAA0175 	likely ortholog of maternal embryonic leucine zipper kinase																				
810156	DTYMK 	deoxythymidylate kinase (thymidylate kinase)																				
725454	CKS2 	CDC28 protein kinase 2																				
744047	PLK 	polo (Drosophila)-like kinase																				
1422338	RRM2 	ribonucleotide reductase M2 polypeptide																				
743810	MGC2577 	hypothetical protein MGC2577																				
825470	TOP2A 	topoisomerase (DNA) II alpha (170kD)																				
769890	NP 	nucleoside phosphorylase																				
292936	FLJ10468 	hypothetical protein FLJ10468																				
2018131	RACGAP1 	Rac GTPase activating protein 1																				
415102	CDC25C 	cell division cycle 25C																				
951080	RECQL4 	RecQ protein-like 4																				
785368	TOPK 	PDZ-binding kinase; T-cell originated protein kinase																				
128711	ANLN 	"anillin (Drosophila Scraps homolog), actin binding protein"																				
951241	ANKT 	nucleolar protein ANKT																				
705064	TACC3 	"transforming, acidic coiled-coil containing protein 3"																				
