Signalling Pathway	Gene	Expression
Angiogenesis	FLT1	Up
Angiogenesis	TGFB1I1	Up
Angiogenesis	FGF2	Up
Angiogenesis	VEGFB	Up
Angiogenesis	FGFR4	Down
Angiogenesis	EPHRA4	Down
Angiogenesis	EPHRB1	Down
Angiogenesis	EPHRB2	Down
Angiogenesis	ANGPT1	Down
Wnt	WNT3	Up
Wnt	WNT10A	Up
Wnt	WNT16	Up
Wnt	FRZB	Up
Wnt	DACT1	Up
Wnt	PPARD	Up
Wnt	HELLS	Up
Wnt	ARID1B	Up
Wnt	NFACT1	Up
Wnt	NFACT2	Up
Wnt	SMARCB1	Up
Wnt	AES	Up
Wnt	TLE1	Up
Wnt	HOXB7	Up
Wnt	LRP5L	Up
Wnt	WNT1	Down
Wnt	SMARCD2	Down
Wnt	SMARCD3	Down
Wnt	GSK3B	Down
Wnt	CTBP2	Down
Wnt	SMAD1	Down
Wnt	SMAD3	Down
Wnt	FZD2	Down
Wnt	CSNK1A1	Down
Wnt	TLE2	Down
Apoptosis	RELB	Up
Apoptosis	ATF1	Up
Apoptosis	BCL2	Up
Apoptosis	TNFRSF1A	Down
Apoptosis	TNFSF10	Down
Apoptosis	BIRC4	Down
Apoptosis	CASP10	Down
Apoptosis	APAF1	Down
Apoptosis	MCL1	Down
Apoptosis	FAS	Down
Notch	NOTCH2	Down
Notch	NOTCH4	Down
Notch	PSEN1	Down
Notch	JAG1	Down
Notch	ADAM10	Down
Notch	NUMB	Down
Integrin	LAMC3	Up
Integrin	LAMA5	Up
Integrin	COL9A3	Up
Integrin	COL9A2	Up
Integrin	COL9A4	Up
Integrin	COL19A1	Up
Integrin	TGFB1	Up
Integrin	PXN	Down
Integrin	VCL	Down
Integrin	ACTN1	Down
Integrin	ACTN2	Down
Integrin	ITGA4	Down
Integrin	ITGAV	Down
Integrin	ITGA6	Down
Integrin	ITGA5	Down
Cytokine and chemokine	IL7	Up
Cytokine and chemokine	IL12A	Up
Cytokine and chemokine	CCRL1	Up
Cytokine and chemokine	CCL27	Up
Cytokine and chemokine	IL13RA1	Down
Cytokine and chemokine	IL6R	Down
Cytokine and chemokine	IL4	Down
Cytokine and chemokine	IL15	Down
Cytokine and chemokine	CCR2	Down
Cytokine and chemokine	CCR5	Down
Cytokine and chemokine	CCR1	Down
Cytokine and chemokine	CX3CR1	Down
Cytokine and chemokine	CCL2	Down
Blood vessel regulation	EDN1	Up
Blood vessel regulation	EPAS1	Up
Blood vessel regulation	ECGF1	Down
Blood vessel regulation	EDG2	Down
