miRNAs	Control: Log2(Hy5/Hy3) ratio	TSA (1micromol/l): Log2(Hy5/Hy3) ratio
hsa-let-7a	-0.15 +/- 0.07	0.01 +/- 0.07
hsa-mir-141	-0.53 +/- 0.14	-0.26 +/- 0.03
hsa-mir-151	-0.18 +/- 0.08	0.14 +/- 0.04
hsa-mir-15a	-0.11 +/- 0.11	0.11 +/- 0.02
hsa-mir-181a	-0.18 +/- 0.06	-0.05 +/- 0.04
hsa-mir-181d	-0.08 +/- 0.05	0.15 +/- 0.09
hsa-mir-185	-0.10 +/- 0.05	0.08 +/- 0.08
hsa-mir-18a	-0.16 +/- 0.02	-0.08 +/- 0.02
hsa-mir-192	-0.21 +/- 0.35	0.50 +/- 0.11
hsa-mir-194	-0.03 +/- 0.12	0.19 +/- 0.05
hsa-mir-196a	0.24 +/- 0.04	0.35 +/- 0.04
hsa-mir-215	-0.34 +/- 0.29	0.18 +/- 0.08
hsa-mir-22	-0.10 +/- 0.03	0.30 +/- 0.08
hsa-mir-26a-2	-1.41 +/- 0.17	-0.90 +/- 0.16
hsa-mir-27a	-0.17 +/- 0.03	-0.02 +/- 0.05
hsa-mir-28	0.07 +/- 0.10	0.36 +/- 0.02
hsa-mir-29a	-0.32 +/- 0.03	-0.22 +/- 0.03
hsa-mir-29c	0.12 +/- 0.09	0.37 +/- 0.03
hsa-mir-320	-0.29 +/-0.07	-0.07 +/- 0.10
hsa-mir-339	0.19 +/- 0.06	0.44 +/- 0.11
hsa-mir-377	-0.19 +/- 0.10	0.09 +/- 0.02
hsa-mir-491	-0.24 +/- 0.05	-0.08 +/- 0.05
hsa-mir-500	-0.39 +/- 0.16	-0.04 +/- 0.09
hsa-mir-502	0.22 +/- 0.06	0.34 +/- 0.03
hsa-mir-509-3	0.50 +/- 0.08	0.67 +/- 0.06
hsa-mir-550	0.43 +/- 0.10	0.71 +/- 0.05
hsa-mir-589	0.74 +/- 0.09	1.00 +/- 0.07
hsa-mir-769	-0.05 +/- 0.06	0.16 +/- 0.08
hsa-mir-887	0.00 +/- 0.18	0.51 +/- 0.14
hsa-mir-9	0.58 +/- 0.13	0.84 +/- 0.02
	0.29 +/- 0.06	0.47 +/- 0.08
hsa-mir-106b	0.29 +/- 0.07	0.15 +/- 0.04
hsa-mir-181c	1.50 +/- 0.12	1.12 +/- 0.12
hsa-mir-191	0.06 +/- 0.05	-0.08 +/- 0.04
hsa-mir-24-2	1.08 +/- 0.09	0.69 +/- 0.12
hsa-mir-29b	0.32 +/- 0.01	0.21 +/- 0.05
hsa-mir-30c	0.27 +/- 0.07	0.14 +/- 0.04
hsa-mir-552	0.75 +/- 0.19	0.32 +/- 0.17
hsa-mir-574	0.23 +/- 0.08	0.06 +/- 0.05
hsa-mir-923	0.21 +/- 0.07	-0.08 +/- 0.02
hsa-mir-937	0.10 +/- 0.09	-0.21 +/- 0.16
