Accession number	Gene description	Purified T cells from mice; Without tumor	Purified T cells from mice; With tumor	p Value
M16762	Interleukin 2 (IL-2) gene, exon 4	149	87	0.151
X03532	Interleukin 4	40	18	0.34
X06271	Interleukin 5	96	92	1
X54542	Interleukin 6	78	73	0.81
X07962	Interleukin 7	57	64	0.48
M37897	Interleukin 10	207	182	0.81
M86671	Interleukin 12b	180	84	0.48
M86672	Interleukin 12a	140	53	0.238
U14332	Interleukin 15	100	89	0.9
D49949	Interleukin 18	752	642	0.81
M13660	Interferon-alpha	211	149	0.64
X87128	p75 TNF receptor DNA	2,659	3,037	0.81
D84196	Tumor necrosis factor alpha (TNF alpha)	728	843	0.81
U37522	TRAIL mRNA	196	215	0.64
