Probe ID	ENTREZID	SYMBOL	total.gpi	gpi.imp.	gpi.kclust.
41706_at	23600	AMACR	0.3813	0.199	0.1823
32598_at	4753	NELL2	0.3813	0.199	0.1823
37639_at	3249	HPN	0.3669	0.199	0.1679
40436_g_at	293	SLC25A6	0.3236	0.1412	0.1823
38406_f_at	5730	PTGDS	0.213	0.0396	0.1734
38827_at	10551	AGR2	0.1316	0.1316	0
39315_at	284	ANGPT1	0.0518	0.0129	0.0389
33121_g_at	6001	RGS10	0.0462	0.0329	0.0133
216_at	5730	PTGDS	0.0089	0	0.0089
38634_at	5947	RBP1	0.0052	0.0052	0
36589_at	231	AKR1B1	0.0048	0	0.0048
41504_s_at	4094	MAF	0.0043	0	0.0043
36928_at	7705	ZNF146	0.0019	0	0.0019
859_at	1545	CYP1B1	0.0019	0	0.0019
41242_at	6675	UAP1	0.0012	0.0012	0
34050_at	116285	ACSM1	0.0011	0.0011	0
