Gene Name	Access No.	Differential gene expression
Sry-Related Hmg-Box 12	HG2887	Down-Regulated
MIP1/SCI homolog -1	M23178	Down-Regulated
transcription factor ISGF-3	M97935	Down-Regulated
transcription factor ISGF-3	M97936	Down-Regulated
blk (protein tyrosine kinase)	S76617	Down-Regulated
fibromodulin	U05291	Down-Regulated
metallothionein	V00594	Down-Regulated
lymphoid-spec. TF	X13810	Down-Regulated
fibromodulin	X75546	Down-Regulated
27-kDa heat shock protein	Z23090	Down-Regulated
