MEO430Av2	Normal_BaP	Tumor_BaP	fold change	p value_BaP	GO term
1421195_at	2555.83	524.6	-4.87	<0.0001	signal transduction
1449901_a_at	638.23	203.1	-3.14	0.0013	signal transduction
1449403_at	1322.2	433.53	-3.05	<0.0001	signal transduction
1418754_at	410.65	189.05	-2.17	<0.0001	signal transduction
1450759_at	5934	1294.9	-4.58	<0.0001	signal transduction
1437302_at	4113.28	1053.5	-3.9	0.0003	signal transduction
1424886_at	1255.8	713.47	-1.76	0.0004	signal transduction
1427486_at	15423.48	5021.37	-3.07	<0.0001	signal transduction
1427019_at	464.7	86.07	-5.4	0.0002	signal transduction
1419706_a_at	8491.35	2764.77	-3.07	<0.0001	signal transduction
1421622_a_at	574.85	241.27	-2.38	<0.0001	signal transduction
1421471_at	278.3	84.8	-3.28	0.0001	signal transduction
1449848_at	992.48	400.27	-2.48	0.0001	signal transduction
1451924_a_at	2717.25	526.5	-5.16	0.0004	signal transduction
1418596_at	1258.08	473.45	-2.66	0.0001	signal transduction
1455462_at	1174.3	759.82	-1.55	<0.0001	signal transduction
1422771_at	11915.15	2584.4	-4.61	<0.0001	signal transduction
1425644_at	4152.65	1356.07	-3.06	<0.0001	signal transduction
1420349_at	184.85	86.95	-2.13	0.0009	signal transduction
1418187_at	21317.13	5936.37	-3.59	0.0002	signal transduction
1417143_at	941.93	472.4	-1.99	0.0002	signal transduction
1449545_at	328.2	165.63	-1.98	0.001	signal transduction
1417635_at	691.38	210.53	-3.28	0.0001	signal transduction
1451604_a_at	6344.95	1686.9	-3.76	0.0002	signal transduction
1417271_a_at	10831.83	4024.03	-2.69	0.0002	signal transduction
1422243_at	890.98	225.77	-3.95	<0.0001	signal transduction
1450772_at	464.18	193.93	-2.39	<0.0001	signal transduction
1460251_at	1449.35	694.9	-2.09	<0.0001	signal transduction
1460444_at	3917.45	1865.6	-2.1	0.0003	signal transduction
1422620_s_at	4750.5	1592.53	-2.98	0.0002	signal transduction
1452878_at	2530.73	1006.47	-2.51	0.0001	signal transduction
1449590_a_at	289.43	167.13	-1.73	0.0004	signal transduction
1452514_a_at	5537.8	2421.6	-2.29	0.0002	signal transduction
1422112_at	1453.08	361.88	-4.02	<0.0001	signal transduction
1420871_at	5081.8	2617.77	-1.94	<0.0001	signal transduction
1452475_at	141.63	89.63	-1.58	0.0023	signal transduction
1448942_at	11533.65	5130.2	-2.25	<0.0001	signal transduction
1449773_s_at	2999.55	1379.2	-2.17	<0.0001	signal transduction
1418098_at	1864.93	846.83	-2.2	0.0002	signal transduction
1449888_at	5930.03	2780.57	-2.13	<0.0001	signal transduction
1450251_a_at	267.48	80.37	-3.33	0.0038	signal transduction
1435537_at	1495.4	759.35	-1.97	0.0023	signal transduction
1431429_a_at	1286.23	609.6	-2.11	0.0001	signal transduction
1422084_at	715.28	245.87	-2.91	<0.0001	signal transduction
1449178_at	1055.53	333.23	-3.17	0.0001	signal transduction
1423280_at	2066.65	898.2	-2.3	0.0001	signal transduction
1451604_a_at	6344.95	1686.9	-3.76	0.0002	signal transduction
1421456_at	137.48	14.48	-9.5	0.0033	signal transduction
1427788_at	58.5	33.63	-1.74	0.0017	signal transduction
1424050_s_at	820.33	660.1	-1.24	0.0013	signal transduction
1418990_at	2289.55	767.3	-2.98	0.0002	signal transduction
1419300_at	5797.93	2281.9	-2.54	0.0002	signal transduction
1419248_at	4135.15	2503.6	-1.65	0.0014	signal transduction
1421917_at	12625.35	6222.98	-2.03	0.0001	signal transduction
1417804_at	1002.9	488.23	-2.05	<0.0001	signal transduction
1450440_at	166.18	28.07	-5.92	<0.0001	signal transduction
1444052_at	2417.43	993.32	-2.43	0.0001	signal transduction
1449522_at	749.03	333.22	-2.25	<0.0001	signal transduction
1417625_s_at	3261.73	1694.17	-1.93	0.0003	signal transduction
1423280_at	2066.65	898.2	-2.3	0.0001	signal transduction
1452217_at	27947.33	18619.97	-1.5	0.0001	signal transduction
1419301_at	1755.98	1019.97	-1.72	0.0001	signal transduction
1423231_at	757.45	224.9	-3.37	<0.0001	signal transduction
1418554_at	2251.68	772.5	-2.91	0.0002	signal transduction
1450190_at	76.28	40.33	-1.89	0.0038	signal transduction
1423389_at	2769.63	1409.03	-1.97	0.0002	signal transduction
1419392_at	157.55	64.68	-2.44	0.0025	signal transduction
1419301_at	1755.98	1019.97	-1.72	0.0001	signal transduction
1417594_at	2448.68	1555.28	-1.57	<0.0001	signal transduction
1421922_at	1328	459.83	-2.89	<0.0001	signal transduction
1422079_at	2635.9	1212.7	-2.17	0.0005	signal transduction
1417753_at	4432.28	3013.73	-1.47	0.0002	signal transduction
1449379_at	5704.88	2614.13	-2.18	0.0002	signal transduction
1449956_at	1403.9	634.37	-2.21	0.0003	signal transduction
1418586_at	1975.5	1297.63	-1.52	0.0004	signal transduction
