Gene product	Sequence	Accession	Fold change	Activator
arginase 1	Arg1	NM_007482	11.88	IL-4-BMM(sigma)
matrix metalloproteinase-12	Mmp12	NM_008605	8.81	IL-4-BMM(sigma)
transferrin receptor	Trfr	NM_011638	8.39	IL-4-BMM(sigma)
Kruppel-like factor 4	Klf4	NM_010637	8.35	IL-4-BMM(sigma)
macrophage C-type lectin	Mgl	AF132744	8.16	IL-4-BMM(sigma)
fibronectin 1	Fn1	M18194	8.14	IL-4-BMM(sigma)
IgG Fc receptor, low affinity IIb	Fcgr2b	NM_010187	7.68	IL-4-BMM(sigma)
mannose receptor, C-type 1	Mrc1	NM_008625	7.63	IL-4-BMM(sigma)
adipocyte complement-related protein	Acrp30	U37222	7.58	IL-4-BMM(sigma)
cytokine-inducible SH2-containing protein	Cish	NM_009895	7.52	IL-4-BMM(sigma)
small inducible cytokine A9	Scya9	NM_011338	7.09	IL-4-BMM(sigma)
prostaglandin I receptor (IP)	Ptgir	D26157	6.22	IL-4-BMM(sigma)
cadherin 1	Cdh1	NM_009864	5.12	IL-4-BMM(sigma)
CD11c	Itgax	NM_021334	4.94	IL-4-BMM(sigma)
platelet-derived growth factor	Pdgfa	NM_008808	4.71	IL-4-BMM(sigma)
HYLTK gene	HYLTK	X83972	4.66	IL-4-BMM(sigma)
immunoglobulin scavenger receptor	AI536489	AI536489	4.21	IL-4-BMM(sigma)
IgG Fc receptor, high affinity I	Fcgr1	NM_010186	–9.42	IFN-gamma-BMM(sigma)
interferon-c-induced GTPase	Gtpi	NM_019440	–9.65	IFN-gamma-BMM(sigma)
thymidylate kinase homologue	LOC57313	NM_020557	–9.75	IFN-gamma-BMM(sigma)
small inducible cytokine B10	Scyb10	NM_021274	–9.79	IFN-gamma-BMM(sigma)
interferon-c-inducing factor binding protein	Igifbp	NM_010531	–10.25	IFN-gamma-BMM(sigma)
inhibitor of DNA binding 1	Idb1	M31885	–10.99	IFN-gamma-BMM(sigma)
interferon-c -inducible protein, 47 kDa	Ifi47	NM_008330	–10.99	IFN-gamma-BMM(sigma)
small inducible cytokine B9	Scyb9	NM_008599	–11.61	IFN-gamma-BMM(sigma)
interferon-c-induced GTPase	Igtp	NM_018738	–13.24	IFN-gamma-BMM(sigma)
prostaglandin-endoperoxide synthase 2	Ptgs2	NM_011198	–14.37	IFN-gamma-BMM(sigma)
allograft inflammatory factor 1	Aif1	NM_019467	–17.67	IFN-gamma-BMM(sigma)
serine protease inhibitor 2-1	Spi2-1	M64085	–18.13	IFN-gamma-BMM(sigma)
microtubule-associated protein 44	BE691042	BE691042	–19.26	IFN-gamma-BMM(sigma)
lymphocyte antigen 6 complex	Ly6	NM_010738	–21.73	IFN-gamma-BMM(sigma)
interleukin-12 receptor, b1	Il12rb1	NM_008353	–25.84	IFN-gamma-BMM(sigma)
T cell-specific GTPase	Tgtp	NM_011579	–29.89	IFN-gamma-BMM(sigma)
interferon-inducible GTPase	Iigp-pending	AF194871	–79.07	IFN-gamma-BMM(sigma)
macrophage activation 2	Mpa2	NM_008620	–80.50	IFN-gamma-BMM(sigma)
