ABC DLBCL P-Value	GCB DLBCL P-value	Gene Name
NA	4.3 E-25	MYBL1/A-myb transcription factor
NA	6.7 E-24	GC B cell associated-protein 1
NA	1.5 E-20	BCL-6 transcription factor
NA	2.9 E-17	JAW1/LRMP
NA	5.1 E-16	LMO2 transcription factor
NA	6.4 E-16	IMAGE: 704268
NA	1.7 E-15	PAG signaling protein
NA	2.9 E-13	KIAA0808
NA	4.2 E-13	CD10 surface protein
NA	8.8 E-13	IMAGE: 1338044
NA	2.4 E-12	IMAGE: 824088
NA	3.1 E-12	Lymphocyte activation-assoc. protein
NA	3.7 E-12	Protocadherin gamma subfamily C, 3
NA	1.8 E-11	IMAGE: 1301996
NA	1.4 E-10	Histone deacetylase 1
NA	1.5 E-10	Excitatory amino acid transporter 3
NA	2.0 E-10	Focal adhesion kinase
NA	2.5 E-10	GC B cell associated-protein 2
NA	2.9 E-10	Lck tyrosine kinase
NA	5.3 E-10	Myosin-IC
NA	7.2 E-10	Vanin-2 surface protein
NA	2.4 E-9	IMAGE: 1370195
NA	5.3 E-9	Spi-1/PU.1 transcription factor
NA	9.9 E-8	MASL1
NA	1.8 E-7	CIN85
NA	5.2 E-7	MEK1
NA	8.6 E-7	NET1
1.4 E-6	NA	AID
NA	7.4 E-6	IMAGE: 1301896
NA	7.9 E-6	LHFPL2
8.5 E-6	NA	Retinol dehydrogenase homolog
NA	1.0 E-5	IMAGE: 1353036
NA	1.0 E-5	Sec23-interacting protein p125
NA	2.5 E-5	Heparen sulfate 2-O-sulfotransferase
NA	2.8 E-5	IMAGE: 827169
NA	5.4 E-5	IMAGE: 1283870
NA	6.0 E-5	CD21 surface protein
