Original Data	Probe ID	Gene Symbol
1450019_at (Cx3cr1)	1450019_at	Cx3cr1
1443783_x_at (H2-Aa)	1443783_x_at	H2-Aa
1440938_at	1440938_at	1440938_at
1424629_at (Brca1)	1424629_at	Brca1
1416076_at (Ccnb1)	1416076_at	Ccnb1
1417445_at (Kntc2)	1417445_at	Kntc2
1448466_at (2610036L13Rik)	1448466_at	2610036L13Rik
1451128_s_at (Kif22)	1451128_s_at	Kif22
1436186_at (4432406C08Rik)	1436186_at	4432406C08Rik
1450156_a_at (Hmmr)	1450156_a_at	Hmmr
1452881_at (4833427B12Rik)	1452881_at	4833427B12Rik
1434767_at (C79407)	1434767_at	C79407
1441910_x_at (Ccne1)	1441910_x_at	Ccne1
1435306_at (Cenpe)	1435306_at	Cenpe
1435005_at (Cenpe)	1435005_at	Cenpe
1451246_s_at (Aurkb)	1451246_s_at	Aurkb
1429171_a_at (5730507H05Rik)	1429171_a_at	5730507H05Rik
1439695_a_at (Mphosph1)	1439695_a_at	Mphosph1
1452314 (Kif11)	1452314	Kif11
1427161_at (Lek1)	1427161_at	Lek1
1455834_x_at (Tacc3)	1455834_x_at	Tacc3
1430193_at (5730505K17Rik)	1430193_at	5730505K17Rik
1450779_at (Fabp7)	1450779_at	Fabp7
1449060_at (Kif2c)	1449060_at	Kif2c
1428481_s_at (D4Ertd421e)	1428481_s_at	D4Ertd421e
1422462_at (2700084L22Rik)	1422462_at	2700084L22Rik
1434028_at (Arnt2)	1434028_at	Arnt2
1453769_at (2610318C08Rik)	1453769_at	2610318C08Rik
1440808_x_at (E430002D04Rik)	1440808_x_at	E430002D04Rik
1449452_a_at (Gp2)	1449452_a_at	Gp2
1419601_at (Kcnj10)	1419601_at	Kcnj10
1422812_at (Cxcr6)	1422812_at	Cxcr6
