ID	Symbol	Name	Synonyms	Chromosome
3589	IL11	interleukin 11	AGIF|IL-11	19
3592	IL12A	interleukin 12A (natural killer cell stimulatory factor 1, cytotoxic lymphocyte maturation factor 1, p35)	CLMF|IL-12A|NFSK|NKSF1|P35	3
3593	IL12B	interleukin 12B (natural killer cell stimulatory factor 2, cytotoxic lymphocyte maturation factor 2, p40)	CLMF|CLMF2|IL-12B|NKSF|NKSF2	5
3596	IL13	interleukin 13	ALRH|BHR1|IL-13|MGC116786|MGC116788|MGC116789|P600	5
3600	IL15	interleukin 15	IL-15|MGC9721	4
3603	IL16	interleukin 16 (lymphocyte chemoattractant factor)	FLJ16806|FLJ42735|FLJ44234|HsT19289|IL-16|LCF|prIL-16	15
3605	IL17A	interleukin 17A	CTLA8|IL-17|IL-17A|IL17	6
27190	IL17B	interleukin 17B	IL-17B|IL-20|MGC138900|MGC138901|ZCYTO7	5
27189	IL17C	interleukin 17C	CX2|IL-17C|IL-21|MGC126884|MGC138401	16
53342	IL17D	interleukin 17D	FLJ30846|IL-17D|IL-22|IL-27|IL27	13
112744	IL17F	interleukin 17F	IL-17F|ML-1|ML1	6
3606	IL18	interleukin 18 (interferon-gamma-inducing factor)	IGIF|IL-18|IL-1g|IL1F4|MGC12320	11
29949	IL19	interleukin 19	IL-10C|MDA1|NG.1|ZMDA1	1
3552	IL1A	interleukin 1, alpha	IL-1A|IL1|IL1-ALPHA|IL1F1	2
3553	IL1B	interleukin 1, beta	IL-1|IL1-BETA|IL1F2	2
84639	IL1F10	interleukin 1 family, member 10 (theta)	FIL1-theta|FKSG75|IL-1HY2|IL1-theta|MGC119831|MGC119832|MGC119833	2
26525	IL1F5	interleukin 1 family, member 5 (delta)	FIL1|FIL1(DELTA)|FIL1D|IL1HY1|IL1L1|IL1RP3|MGC29840	2
27179	IL1F6	interleukin 1 family, member 6 (epsilon)	FIL1|FIL1(EPSILON)|FIL1E|IL-1F6|IL1(EPSILON)|MGC129552|MGC129553	2
27178	IL1F7	interleukin 1 family, member 7 (zeta)	FIL1|FIL1(ZETA)|FIL1Z|IL-1F7|IL-1H4|IL-1RP1|IL1H4|IL1RP1	2
27177	IL1F8	interleukin 1 family, member 8 (eta)	FIL1|FIL1-(ETA)|FIL1H|IL-1F8|IL-1H2|IL1-ETA|IL1H2|MGC126880|MGC126882	2
56300	IL1F9	interleukin 1 family, member 9	IL-1F9|IL-1H1|IL-1RP2|IL1E|IL1H1|IL1RP2	2
3557	IL1RN	interleukin 1 receptor antagonist	ICIL-1RA|IL-1ra3|IL1F3|IL1RA|IRAP|MGC10430	2
3558	IL2	interleukin 2	IL-2|TCGF|lymphokine	4
50604	IL20	interleukin 20	IL-20|IL10D|MGC96907|ZCYTO10	1
59067	IL21	interleukin 21	IL-21|Za11	4
50616	IL22	interleukin 22	IL-21|IL-22|IL-D110|IL-TIF|IL21|ILTIF|MGC79382|MGC79384|TIFIL-23|TIFa|zcyto18	12
51561	IL23A	interleukin 23, alpha subunit p19	IL-23|IL-23A|IL23P19|MGC79388|P19|SGRF	12
11009	IL24	interleukin 24	C49A|FISP|IL-24|IL10B|MDA7|Mob-5|ST16|mda-7	1
64806	IL25	interleukin 25	IL-17E|IL-25|IL17E	14
55801	IL26	interleukin 26	AK155|IL-26	12
246778	IL27	interleukin 27	IL-27|IL-27A|IL27p28|IL30|MGC71873|p28	16
282616	IL28A	interleukin 28A (interferon, lambda 2)	IFNL2|IL-28A	19
282617	IL28B	interleukin 28B (interferon, lambda 3)	IFNL3|IL-28B|IL28C	19
282618	IL29	interleukin 29 (interferon, lambda 1)	IFNL1|IL-29	19
3562	IL3	interleukin 3 (colony-stimulating factor, multiple)	IL-3|MCGF|MGC79398|MGC79399|MULTI-CSF	5
386653	IL31	interleukin 31	IL-31	12
9235	IL32	interleukin 32	IL-32alpha|IL-32beta|IL-32delta|IL-32gamma|NK4|TAIF|TAIFa|TAIFb|TAIFc|TAIFd	16
90865	IL33	interleukin 33	C9orf26|DKFZp586H0523|DVS27|NF-HEV|NFEHEV|RP11-575C20.2	9
146433	IL34	interleukin 34	C16orf77|IL-34|MGC34647	16
3565	IL4	interleukin 4	BCGF-1|BCGF1|BSF1|IL-4|MGC79402	5
3567	IL5	interleukin 5 (colony-stimulating factor, eosinophil)	EDF|IL-5|TRF	5
3569	IL6	interleukin 6 (interferon, beta 2)	BSF2|HGF|HSF|IFNB2|IL-6	7
3572	IL6ST	interleukin 6 signal transducer (gp130, oncostatin M receptor)	CD130|CDw130|GP130|GP130-RAPS|IL6R-beta	5
3574	IL7	interleukin 7	IL-7	8
3576	IL8	interleukin 8	CXCL8|GCP-1|GCP1|LECT|LUCT|LYNAP|MDNCF|MONAP|NAF|NAP-1|NAP1	4
3578	IL9	interleukin 9	HP40|IL-9|P40	5
200081	TXLNA	taxilin alpha	DKFZp451J0118|IL14|MGC118870|MGC118871|RP4-622L5.4|TXLN	1
