Gene Symbol	Description	P
DLX4	Distal-less homeo box 4	0.0017
ROCK1	Rho-assosciated, coiled-coil containing protein kinase 1	0.0041
MFAP1	Microfibrillar-assosciated protein 1	0.0003
KRAS2	Transforming protein p21a	0.0044
SFRS3	Splicing factor, arginine/serine-rich 3	0.0007
SID6-306	Inorganic pyrophosphatase	0.0029
DC2	DC2 protein	0.0019
FLJ10563	Hypothetical protein FLJ10563	0.0001
RPA1	Replication protein A1	0.0005
SMARCA5	SWI/SNF related, actin dependent regulator of chromatin	0.0039
MATR3	Matrin 3	0.0034
FNTA	Farnesyltranseferase, CAX box, alpha	0.002
EGR2	Early growth response, 2 (Krox-20 homolog)	0.0043
CDC14A	Cell division cycle, 14 S.cerevisiae, homolog A	0.0031
DNAJC8	HSP40 homolog, subfamily C, member 8	0.0054
