Zscore	Gene	Common	GeneBank	Description
3.707	212859_x_at	MT1E	BF217861	metallothionein 2A
2.449	210524_x_at	MT1F	AF078844	C-terminus similar to human metallothionein-IF: Swiss-Prot Accession Number P04733; Homo sapiens hqp0376 protein mRNA, complete cds.
2.354	202424_at	MAP2K2	NM_030662	mitogen-activated protein kinase kinase 2
2.286	215001_s_at	GLUL	AL161952	glutamate-ammonia ligase (glutamine synthase)
2.222	1558836_at		BQ024490	UI-1-BB1p-aut-f-08-0-UI.s1 NCI_CGAP_Pl6 Homo sapiens cDNA clone UI-1-BB1p-aut-f-08-0-UI 3prime, mRNA sequence.
2.068	217762_s_at	RAB31	BE789881	RAB31, member RAS oncogene family
2.046	222670_s_at	MAFB	AW135013	v-maf musculoaponeurotic fibrosarcoma oncogene homolog B (avian)
2.035	202759_s_at	AKAP2	BE879367	paralemmin 2
1.998	206359_at	SOCS3	BG035761	suppressor of cytokine signaling 3
1.933	203973_s_at	CEBPD	NM_005195	KIAA0146 protein
1.898	1558837_a_at		BQ024490	UI-1-BB1p-aut-f-08-0-UI.s1 NCI_CGAP_Pl6 Homo sapiens cDNA clone UI-1-BB1p-aut-f-08-0-UI 3prime, mRNA sequence.
1.85	204166_at	KIAA0963	NM_014963
1.82	212527_at	D15Wsu75e	BF057059	DNA segment, Chr 15, Wayne State University 75, expressed
1.766	213733_at	MYO1F	BF740152	myosin IF
1.754	221484_at	B4GALT5	BF691447	UDP-Gal:betaGlcNAc beta 1,4- galactosyltransferase, polypeptide 5
1.751	231241_at		AW469714	Transcribed sequence with moderate similarity to protein ref:NP_055224.1 (H.sapiens) PCAF associated factor 65 beta [Homo sapiens]
1.75	234973_at	SLC38A5	BG325630	solute carrier family 38, member 5
1.732	204908_s_at	BCL3	NM_005178	B-cell CLL/lymphoma 3
1.732	206540_at	GLB1L	NM_024506	galactosidase, beta 1-like
1.687	221006_s_at	SNX27	NM_030918	sorting nexin family member 27
1.645	225922_at	KIAA1450	BE501838	KIAA1450 protein
1.554	228325_at	KIAA0146	AI363213	KIAA0146 protein
1.534	212506_at	PICALM	AL135735	phosphatidylinositol binding clathrin assembly protein
1.419	222303_at		AV700891	v-ets erythroblastosis virus E26 oncogene homolog 2 (avian)
1.343	242188_at		AI743332	Transcribed sequences
1.306	212606_at	WDFY3	AL536319	AL536319 Homo sapiens FETAL BRAIN Homo sapiens cDNA clone CS0DF015YG13 3-PRIME, mRNA sequence.
1.303	209234_at	KIF1B	BF939474	kinesin family member 1B
1.293	225415_at	BBAP	AA577672	rhysin 2
