Entrez	Name	Title
367	AR	androgen receptor
388	RHOB	ras homolog gene family, member B
414	ARSD	arylsulfatase D
780	DDR1	discoidin domain receptor family, member 1
1153	CIRBP	cold inducible RNA binding protein
1154	CISH	cytokine inducible SH2-containing protein
1363	CPE	carboxypeptidase E
2065	ERBB3	v-erb-b2 erythroblastic leukemia viral oncogene homolog 3 (avian)
2746	GLUD1	glutamate dehydrogenase 1
2804	GOLGB1	golgi autoantigen, golgin subfamily b, 1
3169	FOXA1	forkhead box A1
3382	ICA1	islet cell autoantigen 1, 69 kDa
5241	PGR	progesterone receptor
5349	FXYD3	FXYD domain containing ion transport regulator 3
6509	SLC1A4	solute carrier family 1 (glutamate/neutral amino acid transporter), member 4
7494	XBP1	X-box binding protein 1
7644	ZNF91	zinc finger protein 91
8349	HIST2H2BE	Histone 2, H2be
10140	TOB1	transducer of ERBB2, 1
10229	COQ7	coenzyme Q7 homolog, ubiquinone
11201	POLI	polymerase (DNA directed) iota
23199	KIAA0182	KIAA0182 protein
23247	KIAA0556	KIAA0556 protein
25800	SLC39A6	solute carrier family 39, member 6
27075	TM4SF13	tetraspanin 13
27134	TJP3	tight junction protein 3
51361	HOOK1	hook homolog 1 (Drosophila)
51478	HSD17B7	hydroxysteroid (17-beta) dehydrogenase 7
55930	MYO5C	Myosin VC
56654	NPDC1	neural proliferation, differentiation and control, 1
