		Control 			Smoke 		 
Gene 	F* 		p-value† 	F* 		p-value† 	 
Casp12 	"2,438"	"0,232 "	"3,067"	"0,132 "	 		
Ccl6 	"1,777"	"0,232 "	"1,489"	"0,265 "	 		
Ch3l3 	"3,604"	"0,134 "	"4,186"	"0,077 "	 		
Col3a1 	"3,564"	"0,134 "	"2,172"	"0,172 "	 		
Eln 	"2,035"	"0,232 "	"5,598"	"0,077 "	 		
F2r 	"1,828"	"0,232 "	"4,890"	"0,077 "	 		
Il6st 	"3,857"	"0,134 "	"5,113"	"0,077 "	 		
Serpinf1 	"2,012"	"0,232 "	"7,880"	"0,072 "	 		
Spi1-6 	"5,306"	"0,134 "	"4,204"	"0,077 "	 		
Tgfb1 	"3,849"	"0,134 "	"2,774"	"0,141 "	 		
Timp2 	"1,607"	"0,241 "	"2,184"	"0,172 "	 		
