Method	Gene	Expression
Regression analysis	SCYA21	Up-regulated
Regression analysis	GPR13	Up-regulated
Regression analysis	IL6R / CD126	Up-regulated
Regression analysis	IL7R / CDW127	Up-regulated
Regression analysis	IL4R / CD124	Up-regulated
Regression analysis	SPN / CD43	Up-regulated
Regression analysis	BCL1	Up-regulated
Regression analysis	MYH11	Up-regulated
Regression analysis	PBX1	Up-regulated
Regression analysis	AF17	Up-regulated
Regression analysis	AML1	Up-regulated
Regression analysis	ENL	Up-regulated
Regression analysis	MVP	Up-regulated
Regression analysis	IRAP	Up-regulated
Regression analysis	CX3C	Up-regulated
Regression analysis	MIG	Up-regulated
Regression analysis	TNFC	Up-regulated
Regression analysis	CD5	Up-regulated
Regression analysis	ANX2	Up-regulated
Regression analysis	CD44H	Up-regulated
Regression analysis	TP12 / CD6	Up-regulated
Regression analysis	TCF7	Up-regulated
Regression analysis	ILF2	Up-regulated
Regression analysis	PAX5	Up-regulated
Regression analysis	AREB6	Up-regulated
Regression analysis	DAPK1	Up-regulated
Regression analysis	SKY	Up-regulated
Regression analysis	SLP76	Up-regulated
Regression analysis	P1	Up-regulated
Regression analysis	GRN	Up-regulated
Regression analysis	GZMK	Up-regulated
Regression analysis	EBI2	Down-regulated
Regression analysis	ADA	Down-regulated
Regression analysis	CALLA / CD10	Down-regulated
Regression analysis	RGS1	Down-regulated
Regression analysis	RGS2	Down-regulated
Regression analysis	CD66D	Down-regulated
PCA	SCYA21	Upregulated
PCA	HLAC	Upregulated
PCA	CD5	Upregulated
PCA	GRN	Upregulated
PCA	BCL1	Upregulated
PCA	TCF7	Upregulated
PCA	TUBA1	Upregulated
PCA	AF17	Upregulated
PCA	CD44H	Upregulated
PCA	ANX2	Upregulated
PCA	TNFC	Upregulated
PCA	YWHAZ	Upregulated
PCA	GZMK	Upregulated
PCA	SLP76	Upregulated
PCA	PIM1	Upregulated
PCA	MIG	Upregulated
PCA	GPR13	Upregulated
PCA	KIAA0053	Upregulated
PCA	EVI2B	Upregulated
PCA	TP12 / CD6	Upregulated
PCA	RGS1	Down-regulated
PCA	RGS2	Down-regulated
PCA	IRF1	Down-regulated
PCA	ADA	Down-regulated
PCA	CALLA / CD10	Down-regulated
PCA	EBI2	Down-regulated
PCA	GAPDH	Down-regulated
PCA	CD66D	Down-regulated
PCA	RBTN2	Down-regulated
PCA	IL12R	Down-regulated
PCA	VEGFR3	Down-regulated
PCA	ARHH	Down-regulated
PCA	LCP1	Down-regulated
PCA	CD83	Down-regulated
PCA	CD23	Down-regulated
PCA	CIITA	Down-regulated
PCA	PTPN7	Down-regulated
PCA	C3DR	Down-regulated
PCA	CD125	Down-regulated
PCA	THPO	Down-regulated
