Probe ID	Gene Symbol
205558_at	TRAF6
209878_s_at	RELA
205192_at	MAP3K14
209239_at	NFKB1
208315_at	TRAF3
201502_s_at	NFKBIA
215346_at	CD40
205153_s_at	CD40
211027_s_at	IKBKB
221571_at	TRAF3
209929_s_at	IKBKG
35150_at	CD40
222292_at	CD40
209342_s_at	IKBKB
202644_s_at	TNFAIP3
202643_s_at	TNFAIP3
214786_at	MAP3K1
209666_s_at	CHUK
202491_s_at	IKBKAP
201783_s_at	RELA
36004_at	IKBKG
201044_x_at	DUSP1
209341_s_at	IKBKB
201041_s_at	DUSP1
202490_at	IKBKAP
207892_at	CD40LG
