probe	EntrezGene.ID	Basal	Her2	LumA	LumB	Normal
84786	NA	-5.04	-0.833727273	0.667592593	-0.284999992	-1.0768
725321	2099	-3.3	-2.6246	1.884571429	-0.863454546	-0.6956
298417	7033	-3.28	-0.690181818	1.522607141	0.6454	0.1431
417867	7494	-2.63	-0.584090909	0.609892857	0.284454546	-0.4257
71863	30061	-2.31	-0.021977273	0.071053572	-0.007681818	0.161925
509823	4680	-2.16	1.425090909	0.294481482	0.649090909	-2.041222222
346321	57758	-1.95	-0.670444444	2.06328	-1.277181818	0.930222222
470105	255743	-1.89	-0.063111111	1.344678571	0.379272733	-0.8367
415229	10451	-1.85	-0.5824	0.301	-0.19390909	-0.5329
810873	6337	-1.84	-0.66385	0.524517857	-0.190409091	0.282
503602	55450	-1.76	0.431909091	-0.047160715	0.458863636	-0.05745
838611	NA	-1.72	0.772909091	-0.511892856	-1.865409091	1.29915
381931	NA	-1.69	-0.820125	0.66248	-0.029700005	-0.2275
503581	85004	-1.66	-1.307277778	1.090053571	-0.7385	0.24345
85450	8309	-1.62	0.33925	0.653541667	0.245	0.308222222
797048	652	-1.56	0.631181818	-0.323576924	-0.1121	-0.102222222
233721	3485	-1.52	-0.560444444	0.343956522	0.47875	0.2932
324225	5920	-1.51	-0.172727273	0.673642857	0.511	-0.9229
263014	2952	-1.48	-0.1857	-1.363846154	-0.3582	-0.88575
853809	8490	-1.47	0.433590909	0.714160714	-0.787681818	0.494222222
433253	2203	-1.47	-0.684636364	0.928076923	0.277	-0.296333333
71730	NA	-1.46	0.0105	0.16262963	0.038636364	0.068666667
66599	9	-1.44	-0.567590909	2.441375	-0.027363636	-0.95975
196189	1528	-1.44	-0.252090909	0.535307692	0.316318182	-0.669666667
665658	4488	-1.41	0.222727272	0.074428571	-0.868954546	0.13355
277808	NA	-1.39	-0.072833333	0.841423077	-0.923681818	0.17045
165857	8821	-1.37	0.077454545	0.282074074	0.050999999	-0.4769
772890	9135	-1.36	-0.552800001	0.972535714	-0.651454546	0.1757
838732	6228	-1.35	-0.030500001	0.22364	-0.291454546	0.4049
486591	10512	-1.34	0.5581	-0.086821429	-0.462	0.4114
132165	119032	-1.34	-0.0764	0.53098	-0.22795	0.063944456
243100	36	-1.32	-0.900636364	0.798846154	0.094545455	-0.1625
811162	2331	-1.28	0.127	0.441964286	-0.4061	1.0725
51344	56967	-1.26	0.556363636	0.016285714	0.096454546	0.7342
744417	1384	-1.26	0.173363631	0.539392857	0.281818182	-0.3916
69935	150	-1.23	0.192099999	0.35432	-0.219	0.8633
52933	25800	-1.17	-1.036818182	1.92475	-0.458272727	0.038444444
46843	NA	-1.13	-0.3716	0.309851852	-1.18495	0.7497
897910	10631	-1.12	0.954636364	-0.559785713	-0.425181818	-0.8092
244796	261729	-1.09	0.202	0.6953	-0.765863636	1.167875
813841	5327	-1.09	0.023090909	1.234785714	-0.290181818	1.1568
364865	79846	-1.08	-0.321388889	0.8034375	-1.050727273	0.766
757222	3158	-1.07	-0.975909091	0.964370371	-0.3286	-0.006
812968	5799	-1.05	0.1851	1.103750001	-0.438818182	0.1061
259374	64087	-1.02	-0.199875	0.588892857	0.2832	-0.200666667
26617	214	-1.01	0.086	0.305464286	-0.286909091	-0.4497
295564	NA	-1.01	1.006159091	-0.105187498	0.24820455	-1.296275
51700	NA	-1.01	-0.6444	1.345857143	0.357227273	-0.244388889
382773	NA	-0.986	-0.6497	0.270269231	-0.470272727	0.0513
322461	59084	-0.978	-0.382625	1.358916667	-0.46565	0.04225
768031	NA	-0.977	-0.2445	0.592538462	-0.465	0.6241
229667	2947	-0.937	0.082363636	0.267037037	-0.311909091	0.0175
795382	10411	-0.934	0.3902	0.468230769	-0.565	1.269
376516	987	-0.932	-0.164722222	0.682096154	0.063818182	0.182333333
813254	2149	-0.931	0.681333333	-0.53984	-0.186181818	-0.8297
81417	6038	-0.93	-0.214555556	0.52975	-0.4937	0.8884
50582	NA	-0.916	0.474	0.199181818	0.8063	0.001555556
197525	2330	-0.906	-0.384863636	0.929480769	-0.292909091	0.1575
855487	427	-0.906	0.004818182	0.531785714	-0.131636369	-0.381
80338	8991	-0.902	-0.841636364	0.52825	-0.310090909	0.14
782233	23030	-0.889	-0.631875	1.007851852	-0.4903	0.568875
297604	NA	-0.885	-0.352181818	0.329714286	0.042272727	-0.24695
756596	1846	-0.877	-0.083125	0.45425	0.041363636	0.029444444
160656	4059	-0.875	-0.930555556	0.967653846	-0.283999997	0.3856
767345	1010	-0.874	-0.257318181	0.463553571	-0.2445	-0.59775
840687	4582	-0.872	-0.806590909	0.887708333	-0.387878788	-0.733233333
230376	NA	-0.87	-1.741090909	0.988592593	-0.1514	-1.3732
726086	7980	-0.864	-0.1633	0.644365385	-0.32035	1.150222222
796284	3667	-0.859	-0.3204	0.261214286	-0.268	0.6128
263727	7905	-0.858	0.076454545	0.158142857	0.430090909	-0.6425
868652	NA	-0.846	-0.315636364	0.283714286	-0.055363636	0.032
811024	684	-0.843	-0.945909091	0.295740741	0.551	-0.3726
841641	595	-0.841	-0.455727273	0.779321429	-0.92409091	0.1578
840606	3295	-0.838	-0.310909091	0.425964286	-0.017090909	-0.1431
289787	NA	-0.813	0.0384	0.859148148	-0.8087	0.147333333
487831	NA	-0.8	0.157363636	0.202428571	0.936181818	-0.196777778
627542	644	-0.792	0.0974	0.463928571	-0.070909091	-0.2219
51463	4671	-0.788	-0.056636364	0.162925926	0.017181818	-0.102111111
809779	23338	-0.786	-0.473409091	0.861796296	-0.6725	0.1483
156473	2053	-0.783	-0.630636364	0.688227273	-0.136272727	0.567444444
359191	26353	-0.783	0.066022727	0.204535714	0.153477273	0.486575
43977	23199	-0.78	0.188818181	0.333642857	-0.076	0.0546
783729	2064	-0.777	2.832272727	-0.347625	0.337863636	-0.190825
470261	NA	-0.775	-0.319045455	0.247685185	0.051227273	-0.15625
264868	83464	-0.773	0.029833333	0.200369565	0.1651	-0.461111111
299197	89927	-0.754	0.0586	0.37132	-0.165545455	0.2337
813387	1728	-0.746	-0.020840909	-0.039258929	0.728568182	-0.499825
301309	64332	-0.739	0.0783	0.388018519	-1.035136364	0.033388889
85561	1549	-0.738	-0.586333333	2.779913044	-0.090909091	0.8576
809944	NA	-0.737	-0.029818182	0.124857143	-0.105636364	-0.2766
265005	10614	-0.727	-0.387272727	0.542642857	0.192909091	-0.068
270535	NA	-0.726	-0.93705	1.03516	-0.65405	-0.389125
342551	10614	-0.722	-0.1818	0.504678571	-0.332181818	0.303666667
284100	81035	-0.716	0.7874	-0.262185185	0.1729	0.0497
