UNIQID	NAME	Entrez Gene ID	Gene Symbol																																																																	
16614	IL6Up-1	3662	IRF4																																																																	
16947	IL6Up-1	5770	PTPN1																																																																	
17492	IL6Up-1	6938	TCF12																																																																	
24290	IL6Up-1	255061	TAC4																																																																	
24424	IL6Up-1	6518	SLC2A5																																																																	
24440	IL6Up-1	2745	GLRX																																																																	
24697	IL6Up-1	8651	SOCS1																																																																	
24908	IL6Up-1	6446	SGK																																																																	
25231	IL6Up-1	3586	IL10																																																																	
25978	IL6Up-1	948	CD36																																																																	
26451	IL6Up-1	3726	JUNB																																																																	
26484	IL6Up-1	3725	JUN																																																																	
26523	IL6Up-1	3398	ID2																																																																	
27078	IL6Up-1	1880	EBI2																																																																	
27769	IL6Up-1	7538	ZFP36																																																																	
27942	IL6Up-1	602	BCL3																																																																	
28474	IL6Up-1	330	BIRC3																																																																	
28596	IL6Up-1	3560	IL2RB																																																																	
28969	IL6Up-1	8553	BHLHB2																																																																	
29092	IL6Up-1	2776	GNAQ																																																																	
29315	IL6Up-1	9021	SOCS3																																																																	
30468	IL6Up-1	6351	CCL4																																																																	
