Gene Symbol	Expression
POSTN	Down-Regulated
SPP1	Down-Regulated
BMP2	Down-Regulated
BMPR2	Down-Regulated
POSTN	No expression
BMP6	No expression
BST1	No expression
SPP1	No expression
PRG2	Down-Regulated
BMP8B	Down-Regulated
BMP7	No expression
BMPR2	Down-Regulated
BMP1	Down-Regulated
BMP1	Down-Regulated
OTP	Down-Regulated
BMP1	No expression
BMP1	Down-Regulated
BMP10	Down-Regulated
BMP15	Down-Regulated
BMPR1B	Down-Regulated
BMP7	Down-Regulated
BMPR2	Down-Regulated
BMP6	Down-Regulated
BMP6	Down-Regulated
BMP1	Down-Regulated
BMP7	Down-Regulated
BMP1	Down-Regulated
BMP8A	Up-Regulated
ALPL	Up-Regulated
BMP8A	Down-Regulated
ALPL	Up-Regulated
BMP8A	Up-Regulated
BMP8B	Down-Regulated
IBSP	Down-Regulated
BMP3	No expression
BMP1	Down-Regulated
MEPE	Down-Regulated
IBSP	Down-Regulated
UBL7	Down-Regulated
BMPR2	Up-Regulated
BMP2	Down-Regulated
BGLAP	Up-Regulated
BMP8B	Down-Regulated
OTP	Down-Regulated
BMPR1A	Up-Regulated
BMP4	Down-Regulated
BMPR2	Up-Regulated
BMP7	No expression
BMPR1A	Up-Regulated
BST2	Down-Regulated
BMP5	Down-Regulated
BMP5	Down-Regulated
