LUID	Gene Names	GenBank Accession Numbers
166557	Vcam1	AV028712
163768	2310022A10Rik	AV016176
184253	Net1	BG070398
152248	Rab11fip1	AV067024
172979	NA	NA
163887	NA	AV073590
176653	2810026P18Rik	BG063482
177629	Mlr2	BG064294
161588	Mrpl32	AV035121
163350	Rpp30	AV012618
169748	Ptpru	AV091235
151459	Acox1	AV089836
152367	D630035O19Rik	AV069603
173110	NA	NA
157284	Sfrs6	AV113966
161636	Ctsm	AV035819
175045	Dtx2	AA422974
187430	4930588M11Rik	BG073210
185908	NA	BG071876
184842	C77032	BG070864
170183	Dhrs3	AV073559
168062	Ssbp1	AV133654
160577	2700097O09Rik	AV103973
182040	Asf1a	BG068294
183361	Nup43	BG069556
180310	Got1	BG066689
161768	Metap2	AV037259
154594	Rnu17d	AV051644
160031	Eif3s4	AV094845
154175	NA	AV043921
178033	Rpo1-3	BG064634
159982	Ubl3	AV094738
160390	Tomm20	AV103245
186560	Eif3s4	BG072476
188661	Metap2	BG074258
183594	Uchl3	AU020667
170950	Prdx3	AA168985
157661	Rbmx2	AV141402
170959	Npm1	AA170528
189144	Mrps35	BG074669
173966	NA	NA
188424	Tomm20	BG074059
164655	NA	AV083554
188062	A630053O10	BG073662
187201	Ssbp1	BG073014
185706	B230119K15Rik	BG071688
185004	Sfxn1	BG071105
157318	NA	NA
179815	Ifi30	BG066248
155223	Fxn	AV056871
157538	NA	AV135842
177350	Tcof1	BG064056
184469	Ddx18	BG070608
189560	Thy28	BG075011
157246	Sms	AV113836
156070	NA	AV072235
151632	NA	AV084860
164222	NA	AV078046
154744	3110040D16Rik	AV053061
177703	Ddx3x	BG064362
182117	Clns1a	BG068364
184998	Bclaf1	BG071099
186282	2700082D03Rik	BG072215
179106	4930553M18Rik	BG065617
163682	Gtf2f2	AV015373
167426	2310056P07Rik	AV087404
166658	NA	AV029198
176906	Clpp	BG063692
182611	2610024G14Rik	BG068834
153264	NA	AV041254
190963	Strap	BG076202
154318	NA	AV049051
168289	Rpo1-3	AV134053
177553	Mrps27	BG064230
162251	NA	AV040157
184047	BC003885	BG070200
154905	2610029G23Rik	AV054381
168445	Bzw2	AV140151
183482	1190005P17Rik	BG069674
178657	Odc1	BG065221
189386	Zfp106	BG074870
184544	Slc24a5	BG070680
188904	Mrpl45	BG074455
619578	Slc24a5	AI225396
190518	Tomm20	BG075818
173576	NA	NA
180659	Dnajc2	BG067003
185532	Ipo7	BG071544
178537	Ly6e	BG065103
160435	NA	AV103516
152118	5033425B17Rik	AV066070
176058	Nolc1	BG063054
154259	D18Wsu98e	AV048279
159623	Vdrip	AV093661
155830	Myohd1	AV060561
187494	NA	AW549112
155827	NA	AV060458
168527	Lrriq2	AV140265
154895	5830482G23Rik	AV054260
186120	G3bp	BG072068
155007	H2-Ke2	AV055189
174552	Dpp4	AA266854
188070	Sms	BG073670
184426	Gtpbp4	BG070565
157362	5730449L18Rik	AV114123
189600	NA	BG075044
161659	NA	AV036072
153764	2010012C16Rik	AV042812
151439	NA	AV090033
165165	Timm23	AV086336
177476	Ruvbl1	BG064169
177368	5730461K03Rik	BG064073
184481	Akap11	AU016565
191125	1810044A24Rik	BG076334
170366	NA	AV125458
182737	1200009K13Rik	BG068956
165596	NA	AV018918
159998	Slc31a1	AV094834
168024	Pdap1	AV133565
169608	Nnat	AV133888
186366	NA	BG072293
190056	Smarca5	BG075451
155436	Lsm3	AV058275
178454	NA	BG065023
164993	Cycs	AV086022
157116	Atp5g1	AV112952
157889	Marcks	AV170912
168300	Hspcb	AV134211
155048	Hspe1	AV055529
180662	Ssrp1	BG067006
182428	2610101N10Rik	BG068654
161735	Snrpd1	AV037082
157992	3300001P08Rik	AV171745
159243	NA	AV088060
160895	Cycs	AV031363
170090	NA	AV050374
176089	NA	BG063078
152135	Dnajc7	AV065480
155306	NA	AV057445
168353	1190017O12Rik	AV134254
189164	Dek	BG074687
182270	1110004P21Rik	BG068503
168335	2900070E19Rik	AV134216
152979	Cdv3	AV104965
182072	Smc6l1	AU022584
183553	Cacybp	BG069742
160329	Ssh2	AV095159
156936	NA	AV065444
163519	Tnpo3	AV014099
155535	Hist2h2aa1	AV058696
153737	NA	AV042542
190068	Hspcb	BG075461
163711	AI414343	AV015663
164695	Hspcb	AV083683
160487	NA	AV103541
168023	Smc6l1	AV133545
154344	1810009A15Rik	AV049181
174648	Dpp4	AA266854
157588	2610040C18Rik	AV141055
182977	1200009K13Rik	BG069182
156965	NA	AV065503
153711	Exosc3	AV042652
160361	NA	AV103144
184379	Psip1	BG070520
