Position	Full Name	GenBank Acc. No.
A4I	Nucleolar phosphoprotein B23	M23613
A4L	Glutathionine S-transferase pi	X08058/M24485
A7G	60S ribosomal protein L22	X59357
B6L	Macrophage migration inhibitory factor	M25639
B7N	Low-affinity immunoglobulin epsilon Fc receptor	M15059
C1I	Leukocyte CD37 antigen	X14046
D1G	60S ribosomal protein L6	X69391
D3B	p21-rac2	M64595/M29871
D6J	Ferritin heavy chain (FTH1)	M97164
D1L	Ikaros	U40462
