Gene Symbol	Gene Description	RefSeq ID	UniGene ID	EntrzGene ID
CCNB2	Cyclin B2	NM_004701	Hs.194698	9133
CDK6	Cyclin-dependent kinase 6	NM_001259	Hs.119882	1021
ESR1	Estrogen receptor 1	NM_000125	Hs.208124	2099
ESR1	Estrogen receptor 1	X74439	Hs.652547	2099
SFN	Stratifin	NM_006142	Hs.523718	2810
SMURF1	SMAD specific E3 ubiquitin protein ligase 1	NM_020429 NM_181349	Hs.189329	57154
TP53	Tumor protein p53 (Li-Fraumeni syndrome)	NM_000546	Hs.654481	7157
TRIM25	Tripartite motif-containing 25	NM_005082	Hs.528952	7706
