Cluster	Mapping	miRNA	3D5	Jurkat	K562	CMK	HL-60	U937
200b-cluster	1p36.33	hsa-mir-200b	+	++++	+	++	-	++++
200b-cluster	1p36.33	hsa-mir-200a	+	++++	+	++	-	++++
200b-cluster	1p36.33	hsa-mir-429	++	++++	++++	+-	+-	++++
181b-1-cluster	1q31.3	hsa-mir-181b-1	-	-	-	-	-	-
181b-1-cluster	1q31.3	hsa-mir-213	-	+	-	-	-	-
29c-cluster	1q32.2	hsa-mir-29c	+-	++	-	+	-	+
29c-cluster	1q32.2	hsa-mir-29b-2	-	++	-	++	-	+
15b-cluster	3q25.33	hsa-mir-15b	+++	+++	+	+++	+++	+++
15b-cluster	3q25.33	hsa-mir-16-2	++++	++++	++++	++++	++++	++++
425-cluster	3p21.31	hsa-mir-425	-	-	-	-	-	-
425-cluster	3p21.31	hsa-mir-191	+-	++++	+-	+-	+-	+-
425-cluster	3p21.31	hsa-mir-191	+-	++++	+-	++++	++++	++++
302-cluster	4q25	hsa-mir-367	-	-	-			
302-cluster	4q25	hsa-mir-302d	-	+-	-			+-
302-cluster	4q25	hsa-mir-302a	-	+	-			+-
302-cluster	4q25	hsa-mir-302a	+-	+	-	+	+-	+-
302-cluster	4q25	hsa-mir-302c	+-	++	-	++	+-	++
302-cluster	4q25	hsa-mir-302c	+-	++	-	++	+-	++
302-cluster	4q25	hsa-mir-302b	-	-	-	-	-	-
302-cluster	4q25	hsa-mir-302b	++	+	-	++	-	++
143-cluster	5q32	hsa-mir-143	+-	++	+++	+	+	+++
143-cluster	5q32	hsa-mir-145	+-	++	+++	+	+	+++
29a-cluster	7q32.3	hsa-mir-29a	-	+++	-	++	-	+-
29a-cluster	7q32.3	hsa-mir-29b-1	-	++	-	++	-	-
let-7a-1-cluster	9q22.32	hsa-let-7a-1	-	++	-	-	+-	-
let-7a-1-cluster	9q22.32	hsa-let-7f-1	+-	+++	-	+	+	+-
181a-cluster	9q33.3	hsa-mir-181a-1	-	++++	-	-	-	-
181a-cluster	9q33.3	hsa-mir-181b-2	-	-	-	-	-	-
34b-cluster	11q23.1	hsa-mir-34b	++	-	-	-	-	-
34b-cluster	11q23.1	hsa-mir-34c	+	-	-	-	-	-
17-cluster	13q31.3	hsa-mir-17	-	+-	+	-	-	+
17-cluster	13q31.3	hsa-mir-17	++	++	++++	+	+	+++
17-cluster	13q31.3	hsa-mir-18a	-	++	++++	+	+	++++
17-cluster	13q31.3	hsa-mir-19a	-	+-	++	+-	+-	++
17-cluster	13q31.3	hsa-mir-20a	-	+	++++	+	+	++++
17-cluster	13q31.3	hsa-mir-19b-1	-	+	++++	+	+	+++
17-cluster	13q31.3	hsa-mir-92a-1	-	+	+++	+	+-	+++
16-1-cluster	13q14.2	hsa-mir-16-1	+++	+++	+++	+++	++	+++
16-1-cluster	13q14.2	hsa-mir-15a	+++	+++	+++	+++	++	+++
127-cluster	14q32.31	hsa-mir-127	-	-	-	-	-	-
127-cluster	14q32.31	hsa-mir-136	+-	++++	+-	+-	+-	+-
23a-cluster	19p13.12	hsa-mir-23a	+	-	+	-	+	+++
23a-cluster	19p13.12	hsa-mir-27a	+	-	+	-	+	+++
23a-cluster	19p13.12	hsa-mir-24-2	-	-	-	-	-	-
99b-cluster	19q13.41	hsa-mir-99b	-	-	-	-	-	-
99b-cluster	19q13.41	hsa-mir-125a	-	-	-	-	-	-
99b-cluster	19q13.41	hsa-let-7e	+	++++	-	+	+-	+
181c-cluster	19p13.12	hsa-mir-181c	-	++++	-	-	-	-
181c-cluster	19p13.12	hsa-mir-181d	-	++	++	-	-	+++
371-cluster	19q13.42	hsa-mir-371	-	-	-	-	-	-
371-cluster	19q13.42	hsa-mir-372	-	-	-	-	-	-
371-cluster	19q13.42	hsa-mir-373	+	-	+	-	+++	+
371-cluster	19q13.42	hsa-mir-373	-	-	-	-	-	-
let-7a-3-cluster	22q13.31	hsa-let-7a-3	-	+	+-	-	+-	-
let-7a-3-cluster	22q13.31	hsa-let-7b	+-	++	-	-	+-	-
106a-cluster	Xq26.2	hsa-mir-363	-	+++	-	-	+-	-
106a-cluster	Xq26.2	hsa-mir-92a-2	+-	+	+++	+-	+-	+++
106a-cluster	Xq26.2	hsa-mir-19b-2	+-	+	+++	+	+	+++
106a-cluster	Xq26.2	hsa-mir-106a	-	-	+++	-	-	++
98-cluster	Xp11.22	hsa-mir-98	+	+++	-	+	+	+
98-cluster	Xp11.22	hsa-let-7f-2	+	+++	-	+	++	+
