Gene Description	Accession No.	5th Day	10th Day	Control
clone RES4-24A	AB000464	4	0.48	0.67
tyrosine phosphatase (PTP-PEST)	M93425	3.5	1.2	1
nicotinamide nucleotide transhydrogenase	U40490	3.4	1	0.63
alpha antitrypsin	HG3517	3	1.1	0.91
c-src-kinase	X59932	2.6	1	0.67
EPAS1	U81984	2.4	1	0.91
unknown protein	AF015910	2.3	1.2	1.7
signal recognition particle (SRP)	X12791	2.3	1.1	0.91
phosphogluconate dehydrogenase (PGDH)	U30255	2.2	1.8	1
