Gene ID	Gene Name	Fold Change
202672_s_at	ATF3	40.58
205749_at	CYP1A1	82.08
203665_at	HMOX1	26.22
209921_at	SLC7A11	22.20
217678_at	SLC7A11	22.78
213418_at	HSPA6	48.01
117_at	HSPA6	24.78
36711_at	MAFF	11.61
218723_s_at	RGC32	10.83
221577_x_at	GDF15	10.36
202434_s_at	CYP1B1	9.57
206561_s_at	AKR1B10	8.30
204472_at	GEM	10.06
217996_at	PHLDA1	6.77
203725_at	GADD45A	6.94
205239_at	AREG	6.78
205193_at	MAFF	7.97
209101_at	CTGF	6.00
203811_s_at	DNAJB4	6.87
217997_at	PHLDA1	7.52
37028_at	PPP1R15A	6.06
212665_at	TIPARP	6.58
202431_s_at	MYC	4.79
202436_s_at	CYP1B1	5.12
219475_at	OKL38	7.02
204420_at	FOSL1	6.30
201169_s_at	BHLHB2	5.10
203810_at	DNAJB4	6.42
202437_s_at	CYP1B1	4.29
205990_s_at	WNT5A	5.41
207528_s_at	SLC7A11	8.10
202435_s_at	CYP1B1	5.01
209189_at	FOS	5.19
218000_s_at	PHLDA1	5.04
212233_at	MAP1B	5.52
210056_at	RND1	4.82
203925_at	GCLM	4.17
207147_at	DLX2	4.87
204285_s_at	PMAIP1	5.20
210138_at	RGS20	4.36
205379_at	CBR3	3.68
214581_x_at	TNFRSF21	4.01
203180_at	ALDH1A3	3.79
208960_s_at	KLF6	5.38
209383_at	DDIT3	4.70
204286_s_at	PMAIP1	4.16
214696_at	MGC14376	3.28
217998_at	PHLDA1	4.21
209457_at	DUSP5	6.02
208961_s_at	KLF6	4.25
214240_at	GAL	3.15
219936_s_at	GPR87	3.41
202949_s_at	FHL2	3.64
204151_x_at	AKR1C1	3.42
39248_at	AQP3	3.70
202014_at	PPP1R15A	4.46
202234_s_at	SLC16A1	3.25
204015_s_at	DUSP4	3.14
203821_at	HBEGF	4.59
209699_x_at	AKR1C2	2.98
212314_at	KIAA0746	2.96
201170_s_at	BHLHB2	3.22
208892_s_at	DUSP6	3.26
220266_s_at	KLF4	3.05
221064_s_at	C16orf28	3.08
218856_at	TNFRSF21	3.39
201041_s_at	DUSP1	3.15
213506_at	F2RL1	2.83
201631_s_at	IER3	2.94
210896_s_at	ASPH	2.72
39249_at	AQP3	3.17
202147_s_at	IFRD1	3.18
212063_at	CD44	2.61
218995_s_at	EDN1	4.26
218647_s_at	YRDC	2.73
202581_at	HSPA1B	2.87
201266_at	TXNRD1	2.90
216594_x_at	AKR1C1	2.94
202843_at	DNAJB9	2.72
201195_s_at	SLC7A5	2.79
208078_s_at	SNF1LK	3.03
211653_x_at	AKR1C2	2.64
201531_at	ZFP36	2.63
210512_s_at	VEGF	2.88
205266_at	LIF	4.85
208891_at	DUSP6	3.55
200664_s_at	DNAJB1	2.60
202146_at	IFRD1	2.88
218611_at	IER5	2.68
215719_x_at	FAS	2.86
206907_at	TNFSF9	2.75
200800_s_at	HSPA1A /// HSPA1B	2.64
203911_at	RAP1GA1	2.78
204058_at	ME1	2.53
216252_x_at	FAS	2.88
202923_s_at	GCLC	2.66
209373_at	MALL	2.70
65588_at	LOC388796	2.59
202241_at	TRIB1	2.61
202922_at	GCLC	2.79
200666_s_at	DNAJB1	2.43
202627_s_at	SERPINE1	3.42
206429_at	F2RL1	2.76
213988_s_at	SAT	2.54
202912_at	ADM	2.60
212311_at	KIAA0746	2.72
200995_at	IPO7	2.52
201129_at	SFRS7	2.51
218581_at	ABHD4	2.62
205157_s_at	KRT17	3.09
204341_at	TRIM16 /// LOC147166	2.78
209185_s_at	IRS2	2.90
203116_s_at	FECH	2.51
217738_at	PBEF1	2.34
203612_at	BYSL	2.42
210764_s_at	CYR61	2.70
205920_at	SLC6A6	2.53
200924_s_at	SLC3A2	2.39
213124_at	ZNF473	2.45
204958_at	PLK3	2.56
211527_x_at	VEGF	2.61
204589_at	NUAK1	2.49
203313_s_at	TGIF	2.42
203192_at	ABCB6	2.42
212295_s_at	SLC7A1	2.33
221667_s_at	HSPB8	2.56
201465_s_at	JUN	2.42
208152_s_at	DDX21	2.31
218826_at	SLC35F2	2.59
206153_at	CYP4F11	3.52
206173_x_at	GABPB2	2.32
209900_s_at	SLC16A1	2.30
205282_at	LRP8	2.52
212923_s_at	C6orf145	2.53
209800_at	KRT16	2.45
212838_at	DNMBP	2.64
214446_at	ELL2	2.59
201044_x_at	DUSP1	2.19
208869_s_at	GABARAPL1	2.41
204970_s_at	MAFG	2.69
209160_at	AKR1C3	2.57
205623_at	ALDH3A1	2.94
201925_s_at	DAF	2.28
200799_at	HSPA1A	2.15
219522_at	FJX1	2.30
213810_s_at	C6orf166	2.90
204783_at	MLF1	2.59
219686_at	STK32B	2.31
202388_at	RGS2	2.86
202284_s_at	CDKN1A	2.59
201109_s_at	THBS1	2.22
202657_s_at	SERTAD2	2.27
202236_s_at	SLC16A1	2.42
210592_s_at	SAT	2.27
213449_at	POP1	2.33
212361_s_at	ATP2A2	2.20
202776_at	ERBP	2.25
204489_s_at	CD44	2.46
203747_at	AQP3	2.69
209294_x_at	TNFRSF10B	2.35
205019_s_at	VIPR1	2.23
201328_at	ETS2	2.20
221907_at	C14orf172	2.13
221841_s_at	KLF4	2.72
219500_at	CLCF1	2.74
202693_s_at	STK17A	2.43
201983_s_at	EGFR	2.37
211458_s_at	GABARAPL1 /// GABARAPL3	2.74
201694_s_at	EGR1	2.09
204618_s_at	GABPB2	2.22
201110_s_at	THBS1	2.13
208433_s_at	LRP8	2.33
213119_at	SLC36A1	2.39
218284_at	SMAD3	2.20
209135_at	ASPH	2.03
204014_at	DUSP4	2.51
202393_s_at	KLF10	2.18
219270_at	MGC4504	2.64
218245_at	LRRC54	2.25
204490_s_at	CD44	2.22
216913_s_at	KIAA0690	2.22
209882_at	RIT1	2.02
210513_s_at	VEGF	2.34
200632_s_at	NDRG1	2.11
204203_at	CEBPG	2.14
213704_at	RABGGTB	2.19
208296_x_at	TNFAIP8	2.05
213618_at	CENTD1	2.16
214211_at	FTH1	2.05
218880_at	FOSL2	2.58
219737_s_at	PCDH9	2.18
209193_at	PIM1	2.48
204780_s_at	FAS	2.41
209884_s_at	SLC4A7	2.04
201010_s_at	TXNIP	2.26
218590_at	PEO1	2.20
201473_at	JUNB	2.01
201939_at	PLK2	2.00
205047_s_at	ASNS	2.11
221215_s_at	RIPK4	2.09
218066_at	SLC12A7	2.11
203119_at	MGC2574	2.05
218498_s_at	ERO1L	2.12
207126_x_at	UGT1A10 /// UGT1A8 /// UGT1A7 /// UGT1A6 /// UGT1A5 /// UGT1A9 /// UGT1A4 /// UGT1A1 /// UGT1A3	2.09
213427_at	RPP40	2.08
208744_x_at	HSPH1	2.10
218566_s_at	CHORDC1	2.02
201466_s_at	JUN	2.05
203232_s_at	ATXN1	1.97
203231_s_at	ATXN1	2.33
212227_x_at	EIF1	1.99
205945_at	IL6R	2.11
218670_at	PUS1	2.12
212290_at	SLC7A1	2.23
203622_s_at	LOC56902	2.02
214011_s_at	HSPC111	1.99
210463_x_at	TRMT1	2.13
218972_at	TTC17	2.17
204794_at	DUSP2	2.26
