Array ID	Gene Symbol
207824_s_at	MAZ
203434_s_at	MME
211225_at	FUT5
213146_at	JMJD3
205561_at	KCTD17
221064_s_at	C16orf28
202676_x_at	FASTK
204907_s_at	BCL3
218272_at	FLJ20699
215485_s_at	ICAM1
210720_s_at	APBA2BP
221360_s_at	GHSR
204187_at	GMPR
202789_at	ZHX3
221345_at	GPR43
222228_s_at	FLJ20013
204604_at	PFTK1
207433_at	IL10
222330_at	PDE3B
217641_at	GPR135
217056_at	TRA@
219208_at	FBXO11
216623_x_at	TNRC9
209738_x_at	PSG6
222119_s_at	FBXO11
204308_s_at	KIAA0329
220115_s_at	CDH10
208509_s_at	OR7A17
210347_s_at	BCL11A
210242_x_at	LOC283687
202331_at	BCKDHA
211366_x_at	CASP1
200620_at	C1orf8
201807_at	VPS26
203185_at	RASSF2
218269_at	RNASE3L
214723_x_at	KIAA1641
220692_at	HSPC047
221309_at	NA
216073_at	LOC390616
204110_at	HNMT
203457_at	STX7
211689_s_at	TMPRSS2
221887_s_at	DFNB31
202636_at	RNF103
213279_at	DHRS1
207911_s_at	TGM5
216664_at	NA
214630_at	CYP11B2
37004__at	SFTPB
217251_x_at	NA
203775_at	SLC25A13
212483_at	NIPBL
41512_at	BRAP
44120_at	ADCK2
217336_at	RPS10P2
222103_at	ATF1
222196_at	LOC286434
207875_at	NA
211164_at	EPHA3
207738_s_at	NCKAP1
207448_at	POFUT2
