Status	Gene	Fold change
Increased > or = 2.00	Mmp7	8.33
Increased > or = 2.00	Tbl1	3.45
Increased > or = 2.00	Mgst1	2.56
Increased > or = 2.00	Cfl1	2.44
Increased > or = 2.00	Atp1a1	2
Increased > or = 2.00	Clu	2
Decreased < or = 0.50	Htr5b	0.2
Decreased < or = 0.50	Sod1	0.23
Decreased < or = 0.50	Kcnj11	0.32
Decreased < or = 0.50	Gstm1	0.33
