LUID	Gene Names	Accession Numbers
167210	Dcn	AV006268
163911	NA	NA
165045	Calm4	AV085951
151459	Acox1	AV089836
163887	NA	AV073590
169128	NA	AV309922
169003	NA	AV162771
161056	1500034J01Rik	AV032244
184332	Lrrc1	BG070475
170621	NA	AV145534
189875	NA	AW555711
172853	NA	NA
160278	Srm	AV095107
173110	NA	NA
171695	2210412D01Rik	AA219823
157061	2310058A11Rik	AV112688
157482	NA	AV134886
164204	NA	AV077858
160569	Rabggtb	AV103866
151331	NA	AV089161
166460	NA	AV026216
177709	Mki67ip	BG064368
181652	Tex292	BG067933
165859	NA	AV023010
162652	5730402E23Rik	AV005018
163768	2310022A10Rik	AV016176
157554	Paf53	AV135855
184842	C77032	BG070864
169069	NA	AV295889
187464	Rbm13	BG073242
151706	Timm10	AV085126
160545	Chchd4	AV103747
176653	2810026P18Rik	BG063482
168393	Lsm1	AV134197
157079	NA	AV112829
155322	NA	AV057530
178576	Wdr43	BG065141
155366	Rabggtb	AV057681
172091	Atxn7l4	AI839715
152248	Rab11fip1	AV067024
154444	Mrpl50	AV050240
173264	NA	NA
155923	C77032	AV061114
169385	NA	AV261523
166126	Prkaa1	AV024706
167560	NA	AV087864
619838	Eif4g2	AU080263
180627	Hsp105	BG066973
168257	2610312E17Rik	AV133996
184253	Net1	BG070398
161553	1600012F09Rik	AV034753
182082	Nol8	BG068330
168374	Mtap	AV134248
183747	NA	BG069928
164630	2310058A11Rik	AV083409
168492	Nup54	AV140192
168000	Usp36	AV123150
167901	Ifrd1	AV111464
159871	Cul4b	AV094741
186560	Eif3s4	BG072476
185496	Guk1	BG071516
160031	Eif3s4	AV094845
157142	NA	AV113026
185504	NA	BG071523
171303	Txn2	AA116866
176682	Mybbp1a	BG063508
155339	NA	AV057657
190414	Slc29a1	BG075739
154992	Ifrd2	AV055159
154576	BC068171	AV051424
151496	Gart	AV090052
178274	Shmt1	BG064858
154821	NA	AV053480
159677	Ebna1bp2	AV093791
187272	NA	AW548208
157749	Ppid	AV161827
161224	Txn2	AV032789
178273	1110001A16Rik	BG064857
182117	Clns1a	BG068364
156041	Psmb10	AV061542
161768	Metap2	AV037259
160210	NA	AV095164
169583	NA	AV025391
171421	Nola2	AA165811
178567	Ppm1g	BG065132
160695	Nolc1	AV104366
184469	Ddx18	BG070608
184447	Ssfa1	BG070586
162139	NA	AV039638
160499	NA	AV103558
168170	NA	AV133777
178224	Cct3	BG064812
163055	Shmt2	AV009978
183563	NA	BG069751
190412	NA	AW557009
185004	Sfxn1	BG071105
187562	NA	BG073331
160104	Mtvr2	AV094934
160226	Denr	AV095178
