Subgroup	Abbreviation	Full name	Expression status	Chrom.a
NA	BACH1	BTB and CNC homology 1	High	21
NA	TOPORS	Tumor protein p53-binding protein Topoisomerase 1-binding RS protein	High	12
NA	HIST2H2BD	Histone family member	High	6
t (12;21)	LBH	Unknown, GenBank # NM_030915	High	2
t (12;21)	DDX5	RNA helicase, 68 K, DEAD/H box polypeptide 5	High	17
t (12;21)	UN-18	Unknown, GenBank # NT_011512	High	21
t (12;21)	FLT3	fms-related tyrosine kinase 3	Low	13
Hypterdiploid	GLIPR1	Glioma pathogenesis-related protein	High	12
Hypterdiploid	IFITM2,	Interferon-induced transmembrane protein 2	High	11
Hypterdiploid	IFIT1	Interferon-induced protein with tetratricopeptide repeats 1	High	10
Hypterdiploid	BAALC	Brain and acute leukemia, cytoplasmic	Low	8
Hypterdiploid	UN-197	Unknown, GenBank # BQ228238	Low	1
