miRNA	hESC	hNPC	Gliomas(average)
hsa-mir-33a	0.03	0.92	0.16
hsa-mir-98	0.02	0.001	0.5
hsa-mir-107	0.19	2.08	0.28
hsa-mir-124-1	0.002	0.07	0.25
hsa-mir-124-2	0.01	0.34	0.06
hsa-mir-126	0.22	0.03	0.27
hsa-mir-128-1	0.01	0.08	0.14
hsa-mir-128-2	0.002	0.06	0.11
hsa-mir-129-1	0.01	0.18	0.08
hsa-mir-132	0.08	0.16	0.19
hsa-mir-133a-1	0.11	0.11	0.08
hsa-mir-133b	0.07	0.1	0.38
hsa-mir-136	0.1	0.004	0.44
hsa-mir-137	0.02	0.4	0.1
hsa-mir-139	0.01	0.12	0.09
hsa-mir-143	0.07	0.04	0.23
hsa-mir-153-1	0.004	1.04	0.09
hsa-mir-154	0.04	0.09	0.44
hsa-mir-154	0.35	0.23	0.29
hsa-mir-203	1.07	0.08	0.2
hsa-mir-218-1	0.25	2.5	0.29
hsa-mir-26b	0.18	0.57	0.38
hsa-mir-299	0.47	0.17	0.25
hsa-mir-323	0.05	0.03	0.27
hsa-mir-328	0.04	0.07	0.19
hsa-mir-338	0.02	0.21	0.34
hsa-mir-369	0.18	0.55	0.32
hsa-mir-370	0.17	0.07	0.27
