Oligo probe	microRNA	Chromosome location	FRA associated	P value	Type
hsa-let-7a-2-precNo1	hsa-let-7a-2	11q24.1		0.014	Down
hsa-let-7d-v2-precNo2	hsa-let-7d-2	12q14.1		4.29E-04	Down
hsa-let-7f-1-precNo1	hsa-let-7f-1	09q22.2	FRA9D	3.09E-29	Down
hsa-mir-009-2No1	hsa-mir-9-2	5q14		0.013	Up
hsa-mir-010a-precNo2	hsa-mir-10a	17q21.3		0.007	Up
hsa-mir-010b-precNo1	hsa-mir-10b	02q31		1.10E-15	Up
hsa-mir-015b-precNo2	hsa-mir-15b	03q26.1		5.79E-14	Up
hsa-mir-017-precNo2	hsa-mir-17	13q31		0.042	Down
hsa-mir-017-precNo2	hsa-mir-17	13q31		0.049	Down
hsa-mir-019a-prec	hsa-mir-19a	13q31		5.16E-17	Up
hsa-mir-020-prec	hsa-mir-20a	13q31		0.038	Down
hsa-mir-021-prec-17No2	hsa-mir-21	17q23.2	FRA17B	0.044	Up
hsa-mir-022-prec	hsa-mir-22	17p13.3		7.16E-04	Up
hsa-mir-023a-prec	hsa-mir-23a	19p13.2		0.011	Down
hsa-mir-024-1-precNo1	hsa-mir-24-1	09q22.1	FRA9D	0.002	Down
hsa-mir-024-1-precNo2	hsa-mir-24-1	09q22.1	FRA9D	7.35E-20	Up
hsa-mir-024-2-prec	hsa-mir-24-2	19p13.2		5.69E-17	Down
hsa-mir-025-prec	hsa-mir-25	07q22	FRA7F	9.52E-04	Down
hsa-mir-027b-prec	hsa-mir-27b	09q22.1	FRA9D	0.046	Down
hsa-mir-029a-2No1	hsa-mir-29a-2	07q32	FRA7H	0.013	Up
hsa-mir-029a-2No2	hsa-mir-29a-2	07q32	FRA7H	0.001	Up
hsa-mir-029c-prec	hsa-mir-29c	01q32.2-32.3		0.002	Up
hsa-mir-030a-precNo1	hsa-mir-30a	06q12-13		0.004	Down
hsa-mir-030a-precNo2	hsa-mir-30a	06q12-13		0.034	Down
hsa-mir-030d-precNo2	hsa-mir-30d	08q24.2		0.008	Down
hsa-mir-033-prec	hsa-mir-33	22q13.2		1.56E-18	Up
hsa-mir-034precNo1	hsa-mir-34	01p36.22		6.00E-06	Up
hsa-mir-092-prec-13=092-1No1	hsa-mir-92-1	13q31		1.70E-12	Up
hsa-mir-092-prec-13=092-1No2	hsa-mir-92	13q31		0.021	Down
hsa-mir-092-prec-X=092-2	hsa-mir-92-2	Xq26.2		3.38E-04	Down
hsa-mir-092-prec-X=092-2	hsa-mir-92-2	Xq26.2		0.042	Down
hsa-mir-096-prec-7No1	hsa-mir-96	07q32	FRA7H	1.79E-04	Up
hsa-mir-099-prec-21	hsa-mir-99	21q11.2		0.001	Down
hsa-mir-101-1/2-precNo1	hsa-mir-101	01p31.3	FRA1C	1.26E-08	Up
hsa-mir-101-1/2-precNo2	hsa-mir-101	01p31.3		0.017	Up
hsa-mir-103-prec-5=103-1	hsa-mir-103-1	05q35.1		0.002	Down
hsa-mir-103-prec-5=103-1	hsa-mir-103-1	05q35.1		0.007	Down
hsa-mir-105-prec-X.1=105-1	hsa-mir-105-1	Xq28	FRAXF	1.55E-05	Up
hsa-mir-107-prec-10	hsa-mir-107	10q23.31		0.002	Down
hsa-mir-123-precNo1	hsa-mir-123	09q34		2.80E-16	Up
hsa-mir-123-precNo1	hsa-mir-123	09q34		0.021	Down
hsa-mir-123-precNo2	hsa-mir-123	09q34		0.021	Down
hsa-mir-124a-2-prec	hsa-mir-124a-2	08q12.2		4.33E-06	Up
hsa-mir-128b-precNo1	hsa-mir-128b	03p22		5.05E-07	Down
hsa-mir-128b-precNo2	hsa-mir-128	03p22		0.007	Up
hsa-mir-130a-precNo2	hsa-mir-130a	11q12		0.01	Down
hsa-mir-130a-precNo2	hsa-mir-130a	11q12		0.05	Up
hsa-mir-132-precNo1	hsa-mir-132	11q12		1.68E-07	Up
hsa-mir-132-precNo2	hsa-mir-132	17p13.3		8.62E-04	Up
hsa-mir-134-precNo1	hsa-mir-134	14q32		6.01E-08	Up
hsa-mir-136-precNo1	hsa-mir-136	14q32		0.003	Up
hsa-mir-136-precNo2	hsa-mir-136	14q32		7.44E-04	Up
hsa-mir-137-prec	hsa-mir-137	01p21-22		0.013	Up
hsa-mir-138-1-prec	hsa-mir-138-1	03p21		2.53E-04	Up
hsa-mir-140No1	hsa-mir-140	16q22.1		2.41E-16	Up
hsa-mir-141-precNo1	hsa-mir-141	12p13		7.91E-08	Up
hsa-mir-141-precNo2	hsa-mir-141	12p13		1.39E-08	Up
hsa-mir-142-prec	hsa-mir-142	17q23	FRA17B	0.004	Down
hsa-mir-145-prec	hsa-mir-145	05q32-33		0.021	Down
hsa-mir-146-prec	hsa-mir-146	05q34		1.03E-08	Down
hsa-mir-148-prec	hsa-mir-148	07p15		3.48E-05	Up
hsa-mir-152-precNo1	hsa-mir-152	17q21		0.003	Up
hsa-mir-152-precNo2	hsa-mir-152	17q21		3.35E-05	Up
hsa-mir-153-1-prec1	hsa-mir-153	02q36		0.005	Up
hsa-mir-153-1-prec2	hsa-mir-153	02q36		1.48E-08	Up
hsa-mir-154-prec1No1	hsa-mir-154	14q32		1.14E-10	Up
hsa-mir-155-prec	hsa-mir-155	21q21		0.029	Up
hsa-mir-181b-precNo2	hsa-mir-181b	01q31.2-q32.1		3.26E-06	Up
hsa-mir-181c-precNo2	hsa-mir-181c	19p13.3		0.003	Up
hsa-mir-182-precNo2	hsa-mir-182	07q32	FRA7H	0.001	Up
hsa-mir-183-precNo2	hsa-mir-183	07q32	FRA7H	1.26E-23	Up
hsa-mir-184-precNo1	hsa-mir-184	15q24		0.007	Up
hsa-mir-188-prec	hsa-mir-188	Xp11.23-p11.2		6.08E-11	Up
hsa-mir-190-prec	hsa-mir-190	15q21	FRA15A	1.48E-20	Up
hsa-mir-191-prec	hsa-mir-191	03p21		9.14E-05	Down
hsa-mir-192-2/3No1	hsa-mir-192	11q13		2.00E-07	Down
hsa-mir-193-precNo2	hsa-mir-193	17q11.2		9.14E-05	Up
hsa-mir-194-precNo1	hsa-mir-194	01q41	FRA1H	0.002	Up
