ProbeID	Gen Name	ALL_DATA	GRADE_1	GRADE_1-LIKE	GRADE_3-LIKE	GRADE_3
212282_at	TMEM97	1.54E-04	7.27E-01	1.64E-02	4.66E-01	1.62E-01
210312_s_at	IFT20	7.47E-02	7.42E-01	5.29E-01	5.76E-01	6.22E-01
201207_at	TNFAIP1	8.05E-03	4.41E-01	9.85E-01	4.83E-01	3.26E-01
222425_s_at	POLDIP2	3.55E-02	2.99E-01	1.82E-01	6.01E-01	6.86E-01
225375_at	TMEM199	8.43E-02	1.65E-01	3.93E-01	6.61E-01	2.52E-01
234256_at	SEBOX	4.51E-03	4.46E-02	8.50E-01	2.05E-01	4.25E-01
204534_at	VTN	2.02E-04	4.23E-01	7.89E-03	3.59E-02	3.53E-01
213259_s_at	SARM1	2.85E-01	3.43E-01	9.16E-01	5.74E-01	8.62E-01
207567_at	SLC13A2	2.34E-02	2.41E-01	2.41E-02	2.69E-01	7.61E-01
207683_at	FOXN1	2.45E-01	4.57E-01	7.79E-01	2.77E-01	4.62E-01
220654_at	PPY2	3.64E-01	3.30E-01	6.57E-01	9.24E-01	8.64E-01
