			UF-TiO2	
Acc. No.	NS	0.1	0.5	1.0 mg
AA250640.1				
AA272097.1				
AA415421.1				
AA175226.1				
AI427530				
W99856.1				
AI323555				
AI594956.1				
AI451041				
AA220714.1				
AA064241.1				
AA260248.1				
W42224.1				
AA386616.1				
W09924.1				
AI447692				
AI448353				
AA268592.1				
AI528699				
AI426278				
W53959.1				
AI413201				
AI429151				
AI323739				
AA288222.1				
AA541842.1				
AI429264				
W14138.1				
AI451385				
AI430965				
AI323209.1				
AI427571				
W30242.1				
AA059497.1				
AA060205.1				
AA510013.1				
AA122543.1				
AI429324				
AA003823.1				
AA031108.1				
AA271593.1				
AA237383.1				
AI448366				
AI428333				
AA266024.1				
AA274974.1				
AI385650				
AI449749				
AI449858				
W89873.1				
AI451017				
AI666631				
W99934.1				
AA109914.1				
AA466094.1				
AA414544.1				
AI428382				
AA415241.1				
AA119248.1				
W08488.1				
AA489999.1				
AA499267.1				
AA498608.1				
AI427052				
AA266043.1				
AA080172.1				
AI427524				
W83967.1				
AA066921.1				
AA5417431.1				
AI425784.1				
AI326148				
AA032909.1				
AI326016				
AI528715				
AA416078.1				
AI893759				
AI323620				
W83182.1				
W83574.1				
AI327334				
AI429268				
W98341.1				
AA059524.1				
AA537280.1				
AA178164.1				
W40832.1				
W11649.1				
AI413173				
W71629.1				
AA177814.1				
AI429479				
AA242457.1				
AI447823				
AI450853				
AA003900.1				
AA145856.1				
AA270183.1				
AI594915.1				
AA014196.1				
AA067258.1				
AI448987				
AA467238.1				
AA387002.1				
W70782.1				
AA276079.1				
AA178779.1				
W15031.1				
AI323770				
AA050402.1				
W80031.1				
W12889.1				
AI449619				
AI414368				
AA170738.1				
AI425968				
AI326797				
AI325475				
AI322505.1				
AI413346				
AI427514.1				
AA008051.1				
AA000641.1				
AA204151.1				
AA275028.1				
AI447150				
AI429823.1				
AI386396.1				
AI452255				
AA125395.1				
AA014403.1				
AI323133.1				
AA273927.1				
AA268817.1				
AA000163.1				
AI326991				
AA285951.1				
AA000244.1				
AI414443				
AI465515				
AI449659				
