Gene Symbol	Direction upon EMT
ACTA2	Up
AKT1	Up
AKT2	Up
CAV1	Up
CD44	Up
CD8A	Up
CD8B	Up
CDH2	Up
CDH11	Up
CDH13	Up
COL1A2	Up
CTGF	Up
CYR61	Up
DCN	Up
DSP	Up
EGFR	Up
FGF2	Up
FGFR1	Up
FGFR2	Up
FGFR4	Up
FN1	Up
HOXB7	Up
ILK	Up
ITGA2	Up
ITGA3	Up
ITGA6	Up
ITGB1	Up
ITGB3	Up
ITGB4	Up
IVL	Up
KRT5	Up
KRT7	Up
KRT14	Up
KRT17	Up
LCN2	Up
LGALS3	Up
LUM	Up
MET	Up
MMP2	Up
MMP9	Up
MMP13	Up
MMP14	Up
NFKB1	Up
NFKB2	Up
NOTCH1	Up
NOTCH2	Up
NOTCH3	Up
NOTCH4	Up
PLAU	Up
PLAUR	Up
RELA	Up
S100A4	Up
SDC1	Up
SMAD2	Up
SMAD3	Up
SMAD4	Up
SNAI1	Up
SNAI2	Up
SPARC	Up
TCF3	Up
TGFB1	Up
TGFB2	Up
TGFB3	Up
TWIST	Up
VIM	Up
WT1	Up
YAP1	Up
ZEB1	Up
ZEB2	Up
