No.	microRNA	Ratio	Locus	Alu-associated miRNAs in AGS cells
1	hsa-mir-127	49	14q32	NT
2	hsa-mir-377	44	14q32	NT
3	hsa-mir-494	36	14q32	NT
4	hsa-mir-495	31	14q32	NT
5	hsa-mir-517a	27	19q13	AP
6	hsa-mir-516	26	19q13	AP
7	hsa-mir-517b	10	19q13	AP
8	hsa-mir-512	8	19q13	AP
9	hsa-mir-192	6	11q13	NT
10	hsa-mir-193b	6	16p13	NT
11	hsa-mir-134	4	14q32	NT
12	hsa-mir-182	4	7q32	NT
13	hsa-mir-368	4	14q32	NT
14	hsa-mir-498	4	19q13	AP
15	hsa-mir-126	3	9q34	NT
