GO ID 	GO terms 	GO Category	Number changed 	Number detected 	Number in the group 	P value 	 
GO:0008009 	Chemokine activity 	Molecular function 	5	21	37	0.0429	 
GO:0019865 	Immunoglobulin binding 	Molecular function 	3	7	8	0.0633	 
GO:0001664 	G-protein-coupled receptor binding 	Molecular function 	5	26	43	0.0775	 
GO:0004089 	Carbonate dehydratase activity 	Molecular function 	3	8	25	0.0775	 
GO:0042708 	Elastase activity 	Molecular function 	2	3	3	0.0923	 
GO:0008131 	Amine oxidase 	Molecular function 	2	3	3	0.0923	 
GO:0004175 	Endopeptidase activity 	Molecular function 	13	166	800	0.0956	 
GO:0004866 	Endopeptidase activity inhibitor 	Molecular function 	6	56	238	0.0959	 
GO:0005764 	Lysosome 	Cellular component 	6	36	48	0.0633	 
