Gene Symbol	Gene Name	Clone ID	UniGene ID
	Unknown	1355435	Hs.169081
DCTD	Deoxycytidylate deaminase	1302032	NA
PTPN2	T-cell protein-tyrosine phosphatase	665903	NA
KCNQ1	Potassium voltage-gated channel	1337856	NA
MZF1	Zinc finger protein 42 MZF-1	490387	NA
PTPN2	T-cell protein-tyrosine phosphatase	740402	NA
CCND2	Cyclin D2	1357360	NA
MCL1	MCL1	711870	NA
