Accession	Gene Symbol	Gene or Protein Name
M63618	---	Bullous pemphigoid antigen 1
M73980	---	Notch protein homolog 1
M14505	CDK4	Cyclin-dependent kinase 4
X54941	CKS1	Cyclin-dependent kinase regulatory subunit 1
X54942	CKS2	Cyclin-dependent kinase regulatory subunit 2
U51004	PKCI1	Hint protein; protein kinase C inhibitor 1
M80563	S100A4	S100 calcium-binding protein A4
U46461	DVL1	Dishevelled 1
U33821	TXBP151	TAXI-binding protein 1 51
U56390	CASP9	Caspase-9
M15796	PCNA	Proliferating cyclic nuclear antigen
L07515	HP1	Heterochromatin protein homolog 1
X74262	CAF1	Chromatin assembly factor 1 p48 subunit
X03124	TIMP1	Tissue metalloproteinase inhibitor 1
U36223	---	Fibroblast growth factor 8
X51420	TRP1	Tyrosinase-related protein 1
